Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status,Score,Selected %
8000078,DEF,Aidan Corr,North Melbourne,Adelaide Crows,8490,72.5,72.5,CONFIRMED IN TEAM TO PLAY,53,20
8000156,MID,Matt Crouch,Adelaide Crows,North Melbourne,15830,110,110,CONFIRMED IN TEAM TO PLAY,55,15
8000162,DEF,Rory Laird,Adelaide Crows,North Melbourne,14820,95,95,CONFIRMED IN TEAM TO PLAY,108,10
8000168,DEF,Wayne Milera,Adelaide Crows,North Melbourne,10980,63,63,CONFIRMED IN TEAM TO PLAY,37,5
8000175,FWD,Taylor Walker,Adelaide Crows,North Melbourne,8550,65.5,65.5,CONFIRMED IN TEAM TO PLAY,85,30
8000190,DEF,Luke McDonald,North Melbourne,Adelaide Crows,9160,64,64,CONFIRMED IN TEAM TO PLAY,68,6
8000242,MID,Luke Parker,North Melbourne,Adelaide Crows,10980,80,80,CONFIRMED IN TEAM TO PLAY,83,39
8000242,FWD,Luke Parker,North Melbourne,Adelaide Crows,10980,80,80,CONFIRMED IN TEAM TO PLAY,83,39
8000282,DEF,Caleb Daniel,North Melbourne,Adelaide Crows,13780,102.5,102.5,CONFIRMED IN TEAM TO PLAY,115,29
8000332,FWD,Jack Darling,North Melbourne,Adelaide Crows,8560,70,70,CONFIRMED IN TEAM TO PLAY,64,13
8000503,DEF,Darcy Tucker,North Melbourne,Adelaide Crows,10200,37,37,CONFIRMED IN TEAM TO PLAY,76,2
8000514,FWD,Alex Neal-Bullen,Adelaide Crows,North Melbourne,12030,81.5,81.5,CONFIRMED IN TEAM TO PLAY,59,7
8000524,FWD,Ben Keays,Adelaide Crows,North Melbourne,13140,103.5,103.5,CONFIRMED IN TEAM TO PLAY,97,11
8000668,RK,Reilly O'Brien,Adelaide Crows,North Melbourne,12800,86,86,CONFIRMED IN TEAM TO PLAY,88,27
8000711,DEF,Mitchell Hinge,Adelaide Crows,North Melbourne,12040,76.5,76.5,CONFIRMED IN TEAM TO PLAY,96,6
8000796,MID,Isaac Cumming,Adelaide Crows,North Melbourne,9590,50,50,CONFIRMED IN TEAM TO PLAY,50,21
8000796,DEF,Isaac Cumming,Adelaide Crows,North Melbourne,9590,50,50,CONFIRMED IN TEAM TO PLAY,50,21
8000832,FWD,Nick Larkey,North Melbourne,Adelaide Crows,8560,64.5,64.5,CONFIRMED IN TEAM TO PLAY,74,9
8000835,MID,Jy Simpkin,North Melbourne,Adelaide Crows,13270,103,103,CONFIRMED IN TEAM TO PLAY,117,16
8000839,FWD,Cameron Zurhaar,North Melbourne,Adelaide Crows,11110,94,94,CONFIRMED IN TEAM TO PLAY,50,6
8000872,MID,Jordan Dawson,Adelaide Crows,North Melbourne,16210,130,130,CONFIRMED IN TEAM TO PLAY,85,54
8000883,DEF,Toby Pink,North Melbourne,Adelaide Crows,6000,68,68,CONFIRMED IN TEAM TO PLAY,56,25
8000908,FWD,Darcy Fogarty,Adelaide Crows,North Melbourne,9250,81.5,81.5,CONFIRMED IN TEAM TO PLAY,36,32
8000972,MID,Luke Davies-Uniacke,North Melbourne,Adelaide Crows,14210,85,85,CONFIRMED IN TEAM TO PLAY,70,14
8000978,RK,Tristan Xerri,North Melbourne,Adelaide Crows,18010,109.5,109.5,CONFIRMED IN TEAM TO PLAY,77,19
8001369,MID,Lachlan Sholl,Adelaide Crows,North Melbourne,12690,80,80,CONFIRMED IN TEAM TO PLAY,37,14
8001386,DEF,Mark Keane,Adelaide Crows,North Melbourne,8470,50.5,50.5,CONFIRMED IN TEAM TO PLAY,16,11
8001416,MID,Izak Rankine,Adelaide Crows,North Melbourne,13110,88.5,88.5,CONFIRMED IN TEAM TO PLAY,116,30
8001439,MID,Bailey Scott,North Melbourne,Adelaide Crows,12310,80,80,CONFIRMED IN TEAM TO PLAY,47,8
8001503,DEF,Josh Worrell,Adelaide Crows,North Melbourne,11450,90,90,CONFIRMED IN TEAM TO PLAY,65,22
8001557,DEF,Charlie Comben,North Melbourne,Adelaide Crows,8780,50,50,CONFIRMED IN TEAM TO PLAY,61,6
8001578,MID,Dylan Stephens,North Melbourne,Adelaide Crows,6850,15,15,NAMED AS EMERGENCY RESERVE,42,1
8001721,DEF,James Borlase,Adelaide Crows,North Melbourne,7080,0,0,CONFIRMED IN TEAM TO PLAY,35,11
8001726,FWD,Riley Thilthorpe,Adelaide Crows,North Melbourne,10200,86.5,86.5,CONFIRMED IN TEAM TO PLAY,98,66
8001726,RK,Riley Thilthorpe,Adelaide Crows,North Melbourne,10200,86.5,86.5,CONFIRMED IN TEAM TO PLAY,98,66
8001780,MID,Will Phillips,North Melbourne,Adelaide Crows,9220,48,48,CONFIRMED IN TEAM TO PLAY,42,11
8001781,MID,Tom Powell,North Melbourne,Adelaide Crows,13200,109.5,109.5,CONFIRMED IN TEAM TO PLAY,72,40
8001818,MID,James Peatling,Adelaide Crows,North Melbourne,11630,56.5,56.5,CONFIRMED IN TEAM TO PLAY,79,11
8001832,FWD,Josh Rachele,Adelaide Crows,North Melbourne,10460,90,90,CONFIRMED IN TEAM TO PLAY,27,30
8001833,MID,Jake Soligo,Adelaide Crows,North Melbourne,13250,113,113,CONFIRMED IN TEAM TO PLAY,115,53
8001885,FWD,Paul Curtis,North Melbourne,Adelaide Crows,9820,90.5,90.5,CONFIRMED IN TEAM TO PLAY,53,12
