Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status,Score,Selected %
8000058,MID,James Harmes,Western Bulldogs,Fremantle,10700,64.33,64.33,CONFIRMED IN TEAM TO PLAY,103,7
8000086,DEF,Rory Lobb,Western Bulldogs,Fremantle,9810,49.67,49.67,CONFIRMED IN TEAM TO PLAY,63,4
8000288,MID,Tom Liberatore,Western Bulldogs,Fremantle,15270,119.67,119.67,CONFIRMED IN TEAM TO PLAY,96,49
8000301,DEF,Alex Pearce,Fremantle,Western Bulldogs,6000,43,43,CONFIRMED IN TEAM TO PLAY,48,10
8000536,DEF,Bailey Dale,Western Bulldogs,Fremantle,13390,87.67,87.67,CONFIRMED IN TEAM TO PLAY,87,24
8000554,DEF,Liam Jones,Western Bulldogs,Fremantle,7130,38,38,CONFIRMED IN TEAM TO PLAY,46,3
8000597,DEF,Bailey Williams,Western Bulldogs,Fremantle,10580,71.67,71.67,CONFIRMED IN TEAM TO PLAY,66,22
8000607,DEF,Corey Wagner,Fremantle,Western Bulldogs,10630,76,76,CONFIRMED IN TEAM TO PLAY,14,25
8000621,MID,Matthew Kennedy,Western Bulldogs,Fremantle,12630,86.33,86.33,CONFIRMED IN TEAM TO PLAY,95,23
8000761,DEF,Brennan Cox,Fremantle,Western Bulldogs,6600,38.67,38.67,CONFIRMED IN TEAM TO PLAY,65,18
8000767,DEF,Luke Ryan,Fremantle,Western Bulldogs,13540,75.33,75.33,CONFIRMED IN TEAM TO PLAY,109,13
8000811,MID,Jaeger O'Meara,Fremantle,Western Bulldogs,12620,93,93,CONFIRMED IN TEAM TO PLAY,42,21
8000854,FWD,Shai Bolton,Fremantle,Western Bulldogs,9810,55,55,CONFIRMED IN TEAM TO PLAY,68,28
8000854,MID,Shai Bolton,Fremantle,Western Bulldogs,9810,55,55,CONFIRMED IN TEAM TO PLAY,68,28
8000899,RK,Tim English,Western Bulldogs,Fremantle,14400,91,91,CONFIRMED IN TEAM TO PLAY,114,33
8000934,FWD,Bailey Banfield,Fremantle,Western Bulldogs,7680,45.33,45.33,CONFIRMED IN TEAM TO PLAY,50,9
8000935,MID,Andrew Brayshaw,Fremantle,Western Bulldogs,16200,94,94,CONFIRMED IN TEAM TO PLAY,119,24
8000968,DEF,Oskar Baker,Western Bulldogs,Fremantle,8140,35,35,CONFIRMED IN TEAM TO PLAY,84,27
8000968,MID,Oskar Baker,Western Bulldogs,Fremantle,8140,35,35,CONFIRMED IN TEAM TO PLAY,84,27
8001013,FWD,Aaron Naughton,Western Bulldogs,Fremantle,8310,56.33,56.33,CONFIRMED IN TEAM TO PLAY,55,15
8001015,MID,Ed Richards,Western Bulldogs,Fremantle,13730,92,92,CONFIRMED IN TEAM TO PLAY,83,33
8001402,DEF,Jordan Clark,Fremantle,Western Bulldogs,13610,84,84,CONFIRMED IN TEAM TO PLAY,92,17
8001480,DEF,Buku Khamis,Western Bulldogs,Fremantle,7600,58,58,CONFIRMED IN TEAM TO PLAY,47,17
8001483,FWD,Laitham Vandermeer,Western Bulldogs,Fremantle,6830,57.33,57.33,CONFIRMED IN TEAM TO PLAY,13,16
8001484,FWD,Rhylee West,Western Bulldogs,Fremantle,8050,46.67,46.67,CONFIRMED IN TEAM TO PLAY,64,4
8001524,FWD,Michael Frederick,Fremantle,Western Bulldogs,8240,60,60,CONFIRMED IN TEAM TO PLAY,80,7
8001527,MID,Caleb Serong,Fremantle,Western Bulldogs,15050,89.33,89.33,CONFIRMED IN TEAM TO PLAY,121,38
8001543,MID,Jeremy Sharp,Fremantle,Western Bulldogs,9820,50,50,CONFIRMED IN TEAM TO PLAY,67,7
