Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status,Score,Selected %
8000058,MID,James Harmes,Western Bulldogs,GWS GIANTS,10540,59.2,63.67,CONFIRMED IN TEAM TO PLAY,90,19
8000059,FWD,Jesse Hogan,GWS GIANTS,Western Bulldogs,12080,76.67,76.67,CONFIRMED IN TEAM TO PLAY,67,14
8000080,FWD,Toby Greene,GWS GIANTS,Western Bulldogs,12100,91,90.33,CONFIRMED IN TEAM TO PLAY,60,31
8000084,MID,Josh Kelly,GWS GIANTS,Western Bulldogs,13300,94,89.67,CONFIRMED IN TEAM TO PLAY,73,33
8000086,DEF,Rory Lobb,Western Bulldogs,GWS GIANTS,9380,59.17,68.67,CONFIRMED IN TEAM TO PLAY,34,5
8000097,MID,Callan Ward,GWS GIANTS,Western Bulldogs,10010,57.5,66,NAMED AS EMERGENCY RESERVE,39,1
8000098,DEF,Lachie Whitfield,GWS GIANTS,Western Bulldogs,16570,116.33,122.67,CONFIRMED IN TEAM TO PLAY,117,34
8000278,MID,Marcus Bontempelli,Western Bulldogs,GWS GIANTS,15970,119,119,CONFIRMED IN TEAM TO PLAY,79,34
8000286,DEF,Jason Johannisen,Western Bulldogs,GWS GIANTS,12510,66,66,CONFIRMED IN TEAM TO PLAY,67,2
8000288,MID,Tom Liberatore,Western Bulldogs,GWS GIANTS,14580,108.67,97.67,CONFIRMED IN TEAM TO PLAY,94,29
8000297,FWD,Jake Stringer,GWS GIANTS,Western Bulldogs,7970,51.75,51,CONFIRMED IN TEAM TO PLAY,36,43
8000297,MID,Jake Stringer,GWS GIANTS,Western Bulldogs,7970,51.75,51,CONFIRMED IN TEAM TO PLAY,36,43
8000536,DEF,Bailey Dale,Western Bulldogs,GWS GIANTS,13210,88.33,89,CONFIRMED IN TEAM TO PLAY,69,10
8000597,MID,Bailey Williams,Western Bulldogs,GWS GIANTS,11660,76.83,82,CONFIRMED IN TEAM TO PLAY,67,15
8000597,DEF,Bailey Williams,Western Bulldogs,GWS GIANTS,11660,76.83,82,CONFIRMED IN TEAM TO PLAY,67,15
8000621,MID,Matthew Kennedy,Western Bulldogs,GWS GIANTS,13120,92,97.67,CONFIRMED IN TEAM TO PLAY,107,31
8000646,DEF,Harry Himmelberg,GWS GIANTS,Western Bulldogs,12760,86.17,78,CONFIRMED IN TEAM TO PLAY,66,6
8000899,RK,Tim English,Western Bulldogs,GWS GIANTS,14220,97.5,104,CONFIRMED IN TEAM TO PLAY,124,54
8000957,DEF,Jack Buckley,GWS GIANTS,Western Bulldogs,8140,54.17,57.33,CONFIRMED IN TEAM TO PLAY,100,10
8000961,DEF,Sam Taylor,GWS GIANTS,Western Bulldogs,9450,70.17,65.33,CONFIRMED IN TEAM TO PLAY,72,13
8001013,FWD,Aaron Naughton,Western Bulldogs,GWS GIANTS,9030,63.5,70.67,CONFIRMED IN TEAM TO PLAY,64,15
