ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position,Position2,Date
7000823,Jae Crowder,SAC,HOU,,6000,0,0,0,0,PF,C,1032025
7000835,Eric Gordon,PHI,GSW,OUT OF GAME,6000,0,0,0,0,SG,,1032025
7000838,Anthony Davis,DAL,MIL,OUT OF GAME,20840,0,0,0,0,PF,C,1032025
7000905,Paul George,PHI,GSW,ESTIMATED STARTER,14990,38.6,15.44,23.2,69.5,PF,SF,1032025
7000911,Joel Embiid,PHI,GSW,OUT OF GAME,16940,0,0,0,0,C,,1032025
7000923,Bismack Biyombo,SAS,MEM,STARTER,7890,17.6,7.04,10.6,31.7,C,,1032025
7000933,Cody Zeller,HOU,SAC,OUT OF GAME,6000,0,0,0,0,C,,1032025
7000949,Giannis Antetokounmpo,MIL,DAL,ESTIMATED STARTER,22300,62.3,24.92,37.4,112.1,PF,C,1032025
7000987,Jeff Green,HOU,SAC,,6000,0,0,0,0,PF,C,1032025
7000988,Dwight Powell,DAL,MIL,,6000,13.9,5.56,8.3,25,C,,1032025
7001002,Brook Lopez,MIL,DAL,ESTIMATED STARTER,13030,31.4,12.56,18.8,56.5,C,,1032025
7001014,DeMar DeRozan,SAC,HOU,STARTER,14870,35.8,14.32,21.5,64.4,SF,,1032025
7001019,Kyle Lowry,PHI,GSW,OUT OF GAME,6000,0,0,0,0,PG,SG,1032025
7001020,Jonas Valanciunas,SAC,HOU,,7410,15.8,6.32,9.5,28.4,C,,1032025
7001058,Doug McDermott,SAC,HOU,,6000,0,0,0,0,SF,,1032025
7001059,Jimmy Butler,GSW,PHI,OUT OF GAME,15160,0,0,0,0,SF,,1032025
7001088,Zach LaVine,SAC,HOU,STARTER,15060,42.9,17.16,25.7,77.2,SG,SF,1032025
7001116,Spencer Dinwiddie,DAL,MIL,,7900,19.9,7.96,11.9,35.8,PG,SG,1032025
7001117,Andre Drummond,PHI,GSW,,10160,25.9,10.36,15.5,46.6,C,,1032025
7001129,Dante Exum,DAL,MIL,,8410,16.1,6.44,9.7,29,SF,,1032025
7001171,Stephen Curry,GSW,PHI,ESTIMATED STARTER,17580,47,18.8,28.2,84.6,PG,,1032025
7001176,Draymond Green,GSW,PHI,ESTIMATED STARTER,12800,33.9,13.56,20.3,61,PF,C,1032025
7001178,Harrison Barnes,SAS,MEM,STARTER,8190,21,8.4,12.6,37.8,PF,SF,1032025
7001184,Klay Thompson,DAL,MIL,ESTIMATED STARTER,11080,25.4,10.16,15.2,45.7,SG,,1032025
7001198,Damian Lillard,MIL,DAL,ESTIMATED STARTER,16760,48.5,19.4,29.1,87.3,PG,,1032025
7001213,Steven Adams,HOU,SAC,,6000,11.5,4.6,6.9,20.7,C,,1032025
7001221,Kyrie Irving,DAL,MIL,ESTIMATED STARTER,16920,46.5,18.6,27.9,83.7,PG,,1032025
7001235,Chris Paul,SAS,MEM,STARTER,11970,28.7,11.48,17.2,51.7,PG,,1032025
7001308,Bobby Portis,MIL,DAL,OUT OF GAME,14920,0,0,0,0,PF,C,1032025
7001311,Kevon Looney,GSW,PHI,,6840,15.8,6.32,9.5,28.4,C,,1032025
