ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position,Position2,Date
7000810,Cory Joseph,ORL,GSW,,6000,0,0,0,0,PG,,27022025
7000838,Anthony Davis,DAL,CHA,OUT OF GAME,20840,0,0,0,0,PF,C,27022025
7000848,Elfrid Payton,CHA,DAL,,6000,0,0,0,0,PG,,27022025
7000854,Aaron Gordon,DEN,MIL,ESTIMATED STARTER,11650,28.2,11.28,16.9,50.8,PF,C,27022025
7000873,Julius Randle,MIN,LAL,OUT OF GAME,13690,0,0,0,0,PF,C,27022025
7000949,Giannis Antetokounmpo,MIL,DEN,ESTIMATED STARTER,22250,60.9,24.36,36.5,109.6,PF,C,27022025
7000967,Bradley Beal,PHX,NOP,ESTIMATED STARTER,14810,37.6,15.04,22.6,67.7,SG,SF,27022025
7000984,Kelly Olynyk,NOP,PHX,OUT OF GAME,8660,0,0,0,0,C,,27022025
7000988,Dwight Powell,DAL,CHA,GAME TIME DECISION,6670,15.1,6.04,9.1,27.2,C,,27022025
7001000,Mason Plumlee,PHX,NOP,,6850,18.7,7.48,11.2,33.7,C,,27022025
7001002,Brook Lopez,MIL,DEN,ESTIMATED STARTER,12210,30.4,12.16,18.2,54.7,C,,27022025
7001059,Jimmy Butler,GSW,ORL,STARTER,14060,36.7,14.68,22,66.1,SF,,27022025
7001066,Taj Gibson,CHA,DAL,,6000,0,0,0,0,C,,27022025
7001072,Mike Conley,MIN,LAL,ESTIMATED STARTER,8280,19.4,7.76,11.6,34.9,PG,,27022025
7001102,Jusuf Nurkic,CHA,DAL,GAME TIME DECISION,8810,13.7,5.48,8.2,24.7,C,,27022025
7001108,Gary Harris,ORL,GSW,,6000,5.3,2.12,3.2,9.5,SG,SF,27022025
7001116,Spencer Dinwiddie,DAL,CHA,,8040,20.1,8.04,12.1,36.2,PG,SG,27022025
7001119,Kentavious Caldwell-Pope,ORL,GSW,STARTER,6170,18.1,7.24,10.9,32.6,SG,,27022025
7001129,Dante Exum,DAL,CHA,,8210,15.8,6.32,9.5,28.4,SF,,27022025
7001131,Rudy Gobert,MIN,LAL,OUT OF GAME,14330,0,0,0,0,C,,27022025
7001137,Joe Ingles,MIN,LAL,,6000,0,0,0,0,PF,,27022025
7001145,Markieff Morris,LAL,MIN,,6000,0,0,0,0,PF,C,27022025
7001153,Alex Len,LAL,MIN,,6000,0,0,0,0,C,,27022025
7001171,Stephen Curry,GSW,ORL,STARTER,15640,41.9,16.76,25.1,75.4,PG,,27022025
7001176,Draymond Green,GSW,ORL,STARTER,12080,30.1,12.04,18.1,54.2,PF,C,27022025
7001184,Klay Thompson,DAL,CHA,ESTIMATED STARTER,11300,23.9,9.56,14.3,43,SG,,27022025
7001193,CJ McCollum,NOP,PHX,ESTIMATED STARTER,13700,34.1,13.64,20.5,61.4,PG,SG,27022025
7001198,Damian Lillard,MIL,DEN,ESTIMATED STARTER,17560,48.9,19.56,29.3,88,PG,,27022025
7001203,Russell Westbrook,DEN,MIL,,12020,30.3,12.12,18.2,54.5,PG,,27022025
7001210,Kevin Durant,PHX,NOP,ESTIMATED STARTER,17890,51.5,20.6,30.9,92.7,PF,,27022025
7001216,LeBron James,LAL,MIN,ESTIMATED STARTER,19290,52.2,20.88,31.3,94,SF,PF,27022025
7001221,Kyrie Irving,DAL,CHA,ESTIMATED STARTER,17720,45.1,18.04,27.1,81.2,PG,,27022025
7001238,DeAndre Jordan,DEN,MIL,,6000,10.8,4.32,6.5,19.4,C,,27022025
7001291,Seth Curry,CHA,DAL,GAME TIME DECISION,6000,11.4,4.56,6.8,20.5,SG,,27022025
7001308,Bobby Portis,MIL,DEN,OUT OF GAME,14920,0,0,0,0,PF,C,27022025
7001311,Kevon Looney,GSW,ORL,,6900,14.8,5.92,8.9,26.6,C,,27022025
7001347,Nikola Jokic,DEN,MIL,ESTIMATED STARTER,24590,68.3,27.32,41,122.9,C,,27022025
7001353,Devin Booker,PHX,NOP,ESTIMATED STARTER,17310,47.6,19.04,28.6,85.7,SG,PG,27022025
7001357,Pat Connaughton,MIL,DEN,OUT OF GAME,6000,0,0,0,0,SG,SF,27022025
7001366,Tyus Jones,PHX,NOP,,7860,12.9,5.16,7.7,23.2,PG,,27022025
7001396,Dejounte Murray,NOP,PHX,OUT OF GAME,15560,0,0,0,0,PG,,27022025
7001401,Dorian Finney-Smith,LAL,MIN,,7520,18,7.2,10.8,32.4,PF,C,27022025
7001416,Dario Saric,DEN,MIL,,6000,0,0,0,0,C,PF,27022025
7001429,Buddy Hield,GSW,ORL,,8060,14.2,5.68,8.5,25.6,SG,,27022025
7001433,Jamal Murray,DEN,MIL,ESTIMATED STARTER,15700,40.4,16.16,24.2,72.7,PG,SG,27022025
7001447,Taurean Prince,MIL,DEN,ESTIMATED STARTER,7080,18.6,7.44,11.2,33.5,SF,PF,27022025
