ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position,Position2,Date
7000801,Kawhi Leonard,LAC,CHI,ESTIMATED STARTER,14050,38.2,15.28,22.9,68.8,SF,PF,26022025
7000808,Kyle Anderson,MIA,ATL,,9500,22.5,9,13.5,40.5,SF,PF,26022025
7000814,Patty Mills,LAC,CHI,,6000,0,0,0,0,PG,,26022025
7000823,Jae Crowder,SAC,UTA,,6000,0,0,0,0,PF,C,26022025
7000835,Eric Gordon,PHI,NYK,OUT OF GAME,6000,0,0,0,0,SG,,26022025
7000845,Jrue Holiday,BOS,DET,ESTIMATED STARTER,9460,24.7,9.88,14.8,44.5,PG,SG,26022025
7000855,Nikola Vucevic,CHI,LAC,OUT OF GAME,15600,0,0,0,0,C,,26022025
7000858,Tobias Harris,DET,BOS,ESTIMATED STARTER,11490,30.6,12.24,18.4,55.1,PF,,26022025
7000875,Jordan Clarkson,UTA,SAC,ESTIMATED STARTER,13570,27.6,11.04,16.6,49.7,SG,,26022025
7000889,Clint Capela,ATL,MIA,,9550,20,8,12,36,C,,26022025
7000890,James Harden,LAC,CHI,ESTIMATED STARTER,19740,54.3,21.72,32.6,97.7,PG,,26022025
7000905,Paul George,PHI,NYK,ESTIMATED STARTER,14390,38.8,15.52,23.3,69.8,PF,SF,26022025
7000907,Jerami Grant,POR,WAS,ESTIMATED STARTER,11750,31.5,12.6,18.9,56.7,PF,,26022025
7000911,Joel Embiid,PHI,NYK,OUT OF GAME,20690,0,0,0,0,C,,26022025
7000923,Bismack Biyombo,SAS,HOU,ESTIMATED STARTER,6000,17,6.8,10.2,30.6,C,,26022025
7000933,Cody Zeller,HOU,SAS,OUT OF GAME,6000,0,0,0,0,C,,26022025
7000947,Khris Middleton,WAS,POR,ESTIMATED STARTER,11190,30.9,12.36,18.5,55.6,SF,PF,26022025
7000978,Garrett Temple,TOR,IND,OUT OF GAME,6000,0,0,0,0,SG,,26022025
7000985,Marcus Smart,WAS,POR,,7380,18.9,7.56,11.3,34,PG,SG,26022025
