ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position,Position2,Date
7000810,Cory Joseph,ORL,CLE,,6000,0,0,0,0,PG,,25022025
7000838,Anthony Davis,DAL,LAL,OUT OF GAME,20840,0,0,0,0,PF,C,25022025
7000845,Jrue Holiday,BOS,TOR,OUT OF GAME,9460,0,0,0,0,PG,SG,25022025
7000848,Elfrid Payton,CHA,GSW,ESTIMATED STARTER,6970,21.7,8.68,13,39.1,PG,,25022025
7000923,Bismack Biyombo,SAS,NOP,ESTIMATED STARTER,11890,19.3,7.72,11.6,34.7,C,,25022025
7000933,Cody Zeller,HOU,MIL,OUT OF GAME,6000,0,0,0,0,C,,25022025
7000949,Giannis Antetokounmpo,MIL,HOU,ESTIMATED STARTER,22290,58.3,23.32,35,104.9,PF,C,25022025
7000967,Bradley Beal,PHX,MEM,ESTIMATED STARTER,13630,36.5,14.6,21.9,65.7,SG,SF,25022025
7000978,Garrett Temple,TOR,BOS,,6000,0,0,0,0,SG,,25022025
7000984,Kelly Olynyk,NOP,SAS,ESTIMATED STARTER,9440,27,10.8,16.2,48.6,C,,25022025
7000987,Jeff Green,HOU,MIL,,6000,0,0,0,0,PF,C,25022025
7000988,Dwight Powell,DAL,LAL,GAME TIME DECISION,6000,9,3.6,5.4,16.2,C,,25022025
7001000,Mason Plumlee,PHX,MEM,,6680,17.3,6.92,10.4,31.1,C,,25022025
7001002,Brook Lopez,MIL,HOU,ESTIMATED STARTER,11890,24.5,9.8,14.7,44.1,C,,25022025
7001037,Al Horford,BOS,TOR,OUT OF GAME,9400,0,0,0,0,C,PF,25022025
7001059,Jimmy Butler,GSW,CHA,ESTIMATED STARTER,14790,36.2,14.48,21.7,65.2,SF,,25022025
7001066,Taj Gibson,CHA,GSW,,6430,0,0,0,0,C,,25022025
7001102,Jusuf Nurkic,CHA,GSW,,9960,20.7,8.28,12.4,37.3,C,,25022025
7001108,Gary Harris,ORL,CLE,,6000,6.3,2.52,3.8,11.3,SG,SF,25022025
7001116,Spencer Dinwiddie,DAL,LAL,,7960,17.3,6.92,10.4,31.1,PG,SG,25022025
7001119,Kentavious Caldwell-Pope,ORL,CLE,STARTER,7640,17.6,7.04,10.6,31.7,SG,,25022025
7001129,Dante Exum,DAL,LAL,ESTIMATED STARTER,8250,16.2,6.48,9.7,29.2,SF,,25022025
7001144,P.J. Tucker,TOR,BOS,OUT OF GAME,6000,0,0,0,0,C,PF,25022025
7001145,Markieff Morris,LAL,DAL,,6000,0,0,0,0,PF,C,25022025
7001153,Alex Len,LAL,DAL,,6000,0,0,0,0,C,,25022025
7001171,Stephen Curry,GSW,CHA,ESTIMATED STARTER,16580,46.2,18.48,27.7,83.2,PG,,25022025
7001176,Draymond Green,GSW,CHA,ESTIMATED STARTER,12850,34.2,13.68,20.5,61.6,PF,C,25022025
7001178,Harrison Barnes,SAS,NOP,ESTIMATED STARTER,8530,22.6,9.04,13.6,40.7,PF,SF,25022025
7001184,Klay Thompson,DAL,LAL,ESTIMATED STARTER,10720,22.6,9.04,13.6,40.7,SG,,25022025
7001193,CJ McCollum,NOP,SAS,ESTIMATED STARTER,13680,34.7,13.88,20.8,62.5,PG,SG,25022025
7001198,Damian Lillard,MIL,HOU,ESTIMATED STARTER,16950,48.7,19.48,29.2,87.7,PG,,25022025
7001210,Kevin Durant,PHX,MEM,ESTIMATED STARTER,17860,50.1,20.04,30.1,90.2,PF,,25022025
7001213,Steven Adams,HOU,MIL,,6000,11.2,4.48,6.7,20.2,C,,25022025
7001216,LeBron James,LAL,DAL,ESTIMATED STARTER,21250,54.5,21.8,32.7,98.1,SF,PF,25022025
7001218,Tristan Thompson,CLE,ORL,,6000,0,0,0,0,C,,25022025
7001221,Kyrie Irving,DAL,LAL,ESTIMATED STARTER,17020,44.3,17.72,26.6,79.7,PG,,25022025
7001235,Chris Paul,SAS,NOP,ESTIMATED STARTER,11900,30.4,12.16,18.2,54.7,PG,,25022025
7001291,Seth Curry,CHA,GSW,,7030,13.1,5.24,7.9,23.6,SG,,25022025
7001308,Bobby Portis,MIL,HOU,OUT OF GAME,14920,0,0,0,0,PF,C,25022025
7001311,Kevon Looney,GSW,CHA,,6940,18.4,7.36,11,33.1,C,,25022025
7001339,Kristaps Porzingis,BOS,TOR,ESTIMATED STARTER,15260,44.9,17.96,26.9,80.8,C,,25022025
7001353,Devin Booker,PHX,MEM,ESTIMATED STARTER,17970,47.8,19.12,28.7,86,SG,PG,25022025
7001357,Pat Connaughton,MIL,HOU,OUT OF GAME,6000,0,0,0,0,SG,SF,25022025
7001366,Tyus Jones,PHX,MEM,,9450,16.3,6.52,9.8,29.3,PG,,25022025
7001396,Dejounte Murray,NOP,SAS,OUT OF GAME,15560,0,0,0,0,PG,,25022025
7001401,Dorian Finney-Smith,LAL,DAL,,7510,19.8,7.92,11.9,35.6,PF,C,25022025
7001406,Jaylen Brown,BOS,TOR,ESTIMATED STARTER,14930,44.2,17.68,26.5,79.6,SF,SG,25022025
7001410,Jakob Poeltl,TOR,BOS,OUT OF GAME,13560,0,0,0,0,C,,25022025
7001411,Fred VanVleet,HOU,MIL,OUT OF GAME,12510,0,0,0,0,PG,,25022025
7001429,Buddy Hield,GSW,CHA,,8030,15.3,6.12,9.2,27.5,SG,,25022025
