ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position,Position2,Date,
7022890,Jeff Dowtin,PHI,BKN,,6000,11.8,4.72,7.1,21.2,PG,,12022025,
7022997,Max Christie,DAL,GSW,,11210,21.8,8.72,13.1,39.2,SG,,12022025,
7023318,Jaylen Wells,MEM,LAC,ESTIMATED STARTER,7410,14.2,5.68,8.5,25.6,SF,SG,12022025,
7023254,Tristan da Silva,ORL,CHA,,6670,12.7,5.08,7.6,22.9,SF,,12022025,
7022831,Keon Johnson,BKN,PHI,ESTIMATED STARTER,12050,22.9,9.16,13.7,41.2,SG,,12022025,
7023154,Jaylen Clark,MIN,MIL,,6000,11.4,4.56,6.8,20.5,SG,,12022025,
7023018,Jaylin Williams,OKC,MIA,,9690,18.4,7.36,11,33.1,C,,12022025,
7001129,Dante Exum,DAL,GSW,ESTIMATED STARTER,6880,13,5.2,7.8,23.4,PG,SG,12022025,
7023238,Ron Holland,DET,CHI,,6000,11.3,4.52,6.8,20.3,SF,,12022025,
7000848,Elfrid Payton,CHA,ORL,STARTER,8330,15.6,6.24,9.4,28.1,PG,,12022025,
7023265,Stephon Castle,SAS,BOS,,11560,21.6,8.64,13,38.9,PG,SG,12022025,
7023036,Simone Fontecchio,DET,CHI,,6000,11.2,4.48,6.7,20.2,SF,PF,12022025,
7023120,Jordan Hawkins,NOP,SAC,,7980,14.8,5.92,8.9,26.6,SG,,12022025,
7023255,Ryan Dunn,PHX,HOU,,6000,11.1,4.44,6.7,20,SF,,12022025,
7023135,Andre Jackson,MIL,MIN,ESTIMATED STARTER,6000,10.9,4.36,6.5,19.6,SG,,12022025,
7022965,Johnny Juzang,UTA,LAL,,6760,12.1,4.84,7.3,21.8,SG,SF,12022025,
7022376,Kenrich Williams,OKC,MIA,,7980,14,5.6,8.4,25.2,PF,C,12022025,
7001473,Gary Payton,GSW,DAL,,6000,10.5,4.2,6.3,18.9,SG,SF,12022025,
7022845,Aaron Wiggins,OKC,MIA,ESTIMATED STARTER,14460,25.3,10.12,15.2,45.5,SG,SF,12022025,
7001481,Monte Morris,PHX,HOU,,6000,10.4,4.16,6.2,18.7,PG,,12022025,
7022799,Kessler Edwards,DAL,GSW,ESTIMATED STARTER,6000,10.2,4.08,6.1,18.4,SF,PF,12022025,
