ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position,Position2,Date
7001347,Nikola Jokic,DEN,DET,STARTER,24610,72.6,29.04,43.6,130.7,C,,28022025
7022296,Luka Doncic,LAL,LAC,ESTIMATED STARTER,20630,55.7,22.28,33.4,100.3,PG,,28022025
7022352,Shai Gilgeous-Alexander,OKC,ATL,ESTIMATED STARTER,20430,60.4,24.16,36.2,108.7,PG,,28022025
7001367,Karl-Anthony Towns,NYK,MEM,ESTIMATED STARTER,19900,54.2,21.68,32.5,97.6,C,,28022025
7001585,Jayson Tatum,BOS,CLE,ESTIMATED STARTER,19520,52,20.8,31.2,93.6,PF,,28022025
7022722,Anthony Edwards,MIN,UTA,OUT OF GAME,19410,0,0,0,0,SG,PG,28022025
7022812,Cade Cunningham,DET,DEN,ESTIMATED STARTER,19350,55.4,22.16,33.2,99.7,PG,,28022025
7001216,LeBron James,LAL,LAC,ESTIMATED STARTER,19290,54.5,21.8,32.7,98.1,SF,PF,28022025
7022704,Tyrese Haliburton,IND,MIA,ESTIMATED STARTER,18600,43.8,17.52,26.3,78.8,PG,,28022025
7000890,James Harden,LAC,LAL,ESTIMATED STARTER,18550,47.3,18.92,28.4,85.1,PG,,28022025
7022334,Trae Young,ATL,OKC,ESTIMATED STARTER,18130,44.5,17.8,26.7,80.1,PG,,28022025
7001353,Devin Booker,PHX,NOP,ESTIMATED STARTER,18060,49.2,19.68,29.5,88.6,SG,PG,28022025
7022332,Jalen Brunson,NYK,MEM,ESTIMATED STARTER,17480,45.3,18.12,27.2,81.5,PG,,28022025
7001210,Kevin Durant,PHX,NOP,ESTIMATED STARTER,17200,52,20.8,31.2,93.6,PF,,28022025
7022853,Josh Giddey,CHI,TOR,ESTIMATED STARTER,17150,41,16.4,24.6,73.8,PG,,28022025
7022568,Naz Reid,MIN,UTA,ESTIMATED STARTER,16880,39.9,15.96,23.9,71.8,C,PF,28022025
7022823,Jalen Johnson,ATL,OKC,OUT OF GAME,16760,0,0,0,0,PF,,28022025
7022536,Tyler Herro,MIA,IND,ESTIMATED STARTER,16750,45.9,18.36,27.5,82.6,PG,,28022025
7022808,Scottie Barnes,TOR,CHI,ESTIMATED STARTER,16660,45.3,18.12,27.2,81.5,SF,PG,28022025
7022534,Zion Williamson,NOP,PHX,OUT OF GAME,16650,0,0,0,0,PF,,28022025
7001570,Bam Adebayo,MIA,IND,ESTIMATED STARTER,16480,42.5,17,25.5,76.5,C,PF,28022025
7001433,Jamal Murray,DEN,DET,STARTER,16180,39.8,15.92,23.9,71.6,PG,SG,28022025
7022543,RJ Barrett,TOR,CHI,ESTIMATED STARTER,16040,43.4,17.36,26,78.1,SF,SG,28022025
7022532,Ja Morant,MEM,NYK,ESTIMATED STARTER,15930,45.2,18.08,27.1,81.4,PG,,28022025
7001550,Josh Hart,NYK,MEM,ESTIMATED STARTER,15850,42.9,17.16,25.7,77.2,SF,PF,28022025
7000855,Nikola Vucevic,CHI,TOR,OUT OF GAME,15600,0,0,0,0,C,,28022025
7001396,Dejounte Murray,NOP,PHX,OUT OF GAME,15560,0,0,0,0,PG,,28022025
7023019,Jalen Williams,OKC,ATL,ESTIMATED STARTER,15440,45.3,18.12,27.2,81.5,PF,SF,28022025
7023021,Chet Holmgren,OKC,ATL,ESTIMATED STARTER,15440,42,16.8,25.2,75.6,C,PF,28022025
7022834,Trey Murphy,NOP,PHX,ESTIMATED STARTER,15430,37.4,14.96,22.4,67.3,SF,SG,28022025
7022811,Evan Mobley,CLE,BOS,ESTIMATED STARTER,15410,38.5,15.4,23.1,69.3,PF,C,28022025
7023023,Walker Kessler,UTA,MIN,ESTIMATED STARTER,15160,36.5,14.6,21.9,65.7,C,,28022025
7022676,Desmond Bane,MEM,NYK,ESTIMATED STARTER,15150,42.9,17.16,25.7,77.2,SG,SF,28022025
7001565,Donovan Mitchell,CLE,BOS,ESTIMATED STARTER,14960,41.8,16.72,25.1,75.2,SG,PG,28022025
7001442,Brandon Ingram,TOR,CHI,OUT OF GAME,14890,0,0,0,0,SF,PF,28022025
