ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position,Position2,Date
7000808,Kyle Anderson,MIA,TOR,,6000,0,0,0,0,SF,PF,21022025
7000810,Cory Joseph,ORL,MEM,,6000,0,0,0,0,PG,,21022025
7000823,Jae Crowder,SAC,GSW,,6000,0,0,0,0,PF,C,21022025
7000838,Anthony Davis,DAL,NOP,OUT OF GAME,20840,0,0,0,0,PF,C,21022025
7000858,Tobias Harris,DET,SAS,ESTIMATED STARTER,11720,32.8,13.12,19.7,59,PF,,21022025
7000873,Julius Randle,MIN,HOU,OUT OF GAME,13690,0,0,0,0,PF,C,21022025
7000875,Jordan Clarkson,UTA,OKC,ESTIMATED STARTER,12180,29.1,11.64,17.5,52.4,SG,,21022025
7000923,Bismack Biyombo,SAS,DET,,6000,9,3.6,5.4,16.2,C,,21022025
7000933,Cody Zeller,HOU,MIN,OUT OF GAME,6000,0,0,0,0,C,,21022025
7000947,Khris Middleton,WAS,MIL,STARTER,11990,26,10.4,15.6,46.8,SF,PF,21022025
7000949,Giannis Antetokounmpo,MIL,WAS,STARTER,23210,49.5,19.8,29.7,89.1,PF,C,21022025
7000978,Garrett Temple,TOR,MIA,,6000,0,0,0,0,SG,,21022025
7000984,Kelly Olynyk,NOP,DAL,,8650,18.6,7.44,11.2,33.5,C,,21022025
7000985,Marcus Smart,WAS,MIL,,8600,17.7,7.08,10.6,31.9,PG,SG,21022025
7000987,Jeff Green,HOU,MIN,,6000,0,0,0,0,PF,C,21022025
7000988,Dwight Powell,DAL,NOP,GAME TIME DECISION,6000,0,0,0,0,C,,21022025
7001002,Brook Lopez,MIL,WAS,STARTER,10810,32.8,13.12,19.7,59,C,,21022025
7001014,DeMar DeRozan,SAC,GSW,ESTIMATED STARTER,14110,37.7,15.08,22.6,67.9,SF,,21022025
7001020,Jonas Valanciunas,SAC,GSW,,7540,19.4,7.76,11.6,34.9,C,,21022025
7001030,Dennis Schroder,DET,SAS,,8180,17.5,7,10.5,31.5,PG,SG,21022025
7001049,Tim Hardaway,DET,SAS,ESTIMATED STARTER,7160,17.1,6.84,10.3,30.8,SG,SF,21022025
7001058,Doug McDermott,SAC,GSW,,6000,0,0,0,0,SF,,21022025
7001059,Jimmy Butler,GSW,SAC,ESTIMATED STARTER,15020,38.9,15.56,23.3,70,SF,,21022025
7001072,Mike Conley,MIN,HOU,ESTIMATED STARTER,9500,22.3,8.92,13.4,40.1,PG,,21022025
7001088,Zach LaVine,SAC,GSW,ESTIMATED STARTER,14980,44.3,17.72,26.6,79.7,SG,SF,21022025
7001091,Andrew Wiggins,MIA,TOR,ESTIMATED STARTER,12780,33.3,13.32,20,59.9,SF,,21022025
7001108,Gary Harris,ORL,MEM,,6000,7.3,2.92,4.4,13.1,SG,SF,21022025
7001116,Spencer Dinwiddie,DAL,NOP,,8520,18.5,7.4,11.1,33.3,PG,SG,21022025
7001119,Kentavious Caldwell-Pope,ORL,MEM,STARTER,7190,19.6,7.84,11.8,35.3,SG,,21022025
7001129,Dante Exum,DAL,NOP,,9030,17,6.8,10.2,30.6,SF,,21022025
7001131,Rudy Gobert,MIN,HOU,ESTIMATED STARTER,14330,31.4,12.56,18.8,56.5,C,,21022025
7001137,Joe Ingles,MIN,HOU,,6000,0,0,0,0,PF,,21022025
7001138,Alec Burks,MIA,TOR,,7430,6.1,2.44,3.7,11,SG,PG,21022025
7001144,P.J. Tucker,TOR,MIA,OUT OF GAME,6000,0,0,0,0,C,PF,21022025
7001171,Stephen Curry,GSW,SAC,ESTIMATED STARTER,17160,47.2,18.88,28.3,85,PG,,21022025
7001176,Draymond Green,GSW,SAC,ESTIMATED STARTER,12790,34.8,13.92,20.9,62.6,PF,C,21022025
7001178,Harrison Barnes,SAS,DET,ESTIMATED STARTER,9800,21.6,8.64,13,38.9,PF,SF,21022025
7001184,Klay Thompson,DAL,NOP,ESTIMATED STARTER,10820,25.2,10.08,15.1,45.4,SG,,21022025
7001193,CJ McCollum,NOP,DAL,ESTIMATED STARTER,14330,36.1,14.44,21.7,65,PG,SG,21022025
7001198,Damian Lillard,MIL,WAS,OUT OF GAME,17620,0,0,0,0,PG,,21022025
7001213,Steven Adams,HOU,MIN,,6180,9.9,3.96,5.9,17.8,C,,21022025
7001218,Tristan Thompson,CLE,NYK,,6000,0,0,0,0,C,,21022025
7001221,Kyrie Irving,DAL,NOP,ESTIMATED STARTER,18920,48.7,19.48,29.2,87.7,PG,,21022025
7001228,Kevin Love,MIA,TOR,OUT OF GAME,6000,0,0,0,0,C,,21022025
7001235,Chris Paul,SAS,DET,ESTIMATED STARTER,12550,31.8,12.72,19.1,57.2,PG,,21022025
7001308,Bobby Portis,MIL,WAS,OUT OF GAME,14920,0,0,0,0,PF,C,21022025
7001311,Kevon Looney,GSW,SAC,,7400,19.8,7.92,11.9,35.6,C,,21022025
7001317,Terry Rozier,MIA,TOR,,10400,20,8,12,36,PG,SG,21022025
7001320,Richaun Holmes,WAS,MIL,,6610,19.3,7.72,11.6,34.7,C,,21022025
