ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position,Position2,Date
7001322,T.J. McConnell,IND,NYK,,8410,17.2,6.88,10.3,31,PG,,11022025
7001341,Cameron Payne,NYK,IND,,6000,11.6,4.64,7,20.9,PG,,11022025
7023105,Jarace Walker,IND,NYK,,6000,11.6,4.64,7,20.9,PF,,11022025
7023255,Ryan Dunn,PHX,MEM,ESTIMATED STARTER,6000,11.6,4.64,7,20.9,SF,,11022025
7023238,Ron Holland,DET,CHI,,6000,11.5,4.6,6.9,20.7,SF,,11022025
7023104,Ben Sheppard,IND,NYK,,7850,15,6,9,27,SG,SF,11022025
7023318,Jaylen Wells,MEM,PHX,ESTIMATED STARTER,7410,14.1,5.64,8.5,25.4,SF,SG,11022025
7023311,Jamal Shead,TOR,PHI,,8170,14.1,5.64,8.5,25.4,PG,,11022025
7023918,Jamison Battle,TOR,PHI,,6000,10,4,6,18,SF,,11022025
7023036,Simone Fontecchio,DET,CHI,,6000,9.8,3.92,5.9,17.6,SF,PF,11022025
7001030,Dennis Schroder,DET,CHI,,10620,16.2,6.48,9.7,29.2,PG,,11022025
7022961,Scotty Pippen,MEM,PHX,,8900,13.3,5.32,8,23.9,PG,,11022025
7001117,Andre Drummond,PHI,TOR,,7440,10.1,4.04,6.1,18.2,C,,11022025
7001481,Monte Morris,PHX,MEM,,6000,5.5,2.2,3.3,9.9,PG,,11022025
7022287,Damion Lee,PHX,MEM,,6000,5.2,2.08,3.1,9.4,SG,,11022025
7023131,Julian Phillips,CHI,DET,,6000,3.3,1.32,2,5.9,SF,,11022025
7022989,Dalen Terry,CHI,DET,,6000,2.8,1.12,1.7,5,SF,,11022025
7023006,TyTy Washington,PHX,MEM,,6000,2.1,0.84,1.3,3.8,PG,,11022025
7022535,Bol Bol,PHX,MEM,,8620,2.2,0.88,1.3,4,PF,,11022025
7000835,Eric Gordon,PHI,TOR,OUT OF GAME,6000,0,0,0,0,SG,,11022025
7000967,Bradley Beal,PHX,MEM,OUT OF GAME,11480,0,0,0,0,SG,SF,11022025
7000978,Garrett Temple,TOR,PHI,,6000,0,0,0,0,SG,SF,11022025
7001019,Kyle Lowry,PHI,TOR,OUT OF GAME,6000,0,0,0,0,PG,SG,11022025
7001023,James Johnson,IND,NYK,,6000,0,0,0,0,PF,,11022025
7001144,P.J. Tucker,TOR,PHI,OUT OF GAME,6000,0,0,0,0,C,PF,11022025
7001323,Jahlil Okafor,IND,NYK,,6000,0,0,0,0,C,,11022025
7001331,Delon Wright,NYK,IND,,6000,0,0,0,0,PG,SG,11022025
7001333,Myles Turner,IND,NYK,OUT OF GAME,12550,0,0,0,0,C,,11022025
7001410,Jakob Poeltl,TOR,PHI,OUT OF GAME,13560,0,0,0,0,C,,11022025
7001442,Brandon Ingram,TOR,PHI,OUT OF GAME,14890,0,0,0,0,SF,PF,11022025
7001527,Lonzo Ball,CHI,DET,OUT OF GAME,9100,0,0,0,0,PG,,11022025
7001589,Zach Collins,CHI,DET,,6000,0,0,0,0,C,,11022025
7022307,Jevon Carter,CHI,DET,,6000,0,0,0,0,PG,SG,11022025
7022311,Marvin Bagley,MEM,PHX,OUT OF GAME,6890,0,0,0,0,C,,11022025
7022333,Landry Shamet,NYK,IND,,6000,0,0,0,0,SG,,11022025
7022347,Mitchell Robinson,NYK,IND,OUT OF GAME,6000,0,0,0,0,C,,11022025
7022512,Talen Horton-Tucker,CHI,DET,,6000,0,0,0,0,SG,SF,11022025
7022513,Chuma Okeke,PHI,TOR,,6000,0,0,0,0,PF,,11022025
7022521,Cody Martin,PHX,MEM,OUT OF GAME,7760,0,0,0,0,SF,PF,11022025
7022543,RJ Barrett,TOR,PHI,OUT OF GAME,15370,0,0,0,0,SG,SF,11022025
7022571,John Konchar,MEM,PHX,,6000,0,0,0,0,SG,SF,11022025
7022683,Paul Reed,DET,CHI,,6000,0,0,0,0,C,,11022025
7022817,Isaiah Jackson,IND,NYK,OUT OF GAME,7370,0,0,0,0,C,,11022025
7022818,Chris Duarte,CHI,DET,,6000,0,0,0,0,SG,SF,11022025
7022874,Jay Huff,MEM,PHX,,6000,0,0,0,0,C,,11022025
7022878,A.J. Lawson,TOR,PHI,OUT OF GAME,6000,0,0,0,0,SG,,11022025
7022890,Jeff Dowtin,PHI,TOR,,6000,0,0,0,0,PG,,11022025
7022912,Matt Ryan,NYK,IND,,6000,0,0,0,0,SF,,11022025
7022946,Lindy Waters,DET,CHI,,6000,0,0,0,0,SG,,11022025
7022953,Ron Harper,DET,CHI,,6000,0,0,0,0,SF,,11022025
7022963,Collin Gillespie,PHX,MEM,,6000,0,0,0,0,PG,,11022025
7022981,Johnny Davis,MEM,PHX,OUT OF GAME,6000,0,0,0,0,SG,PG,11022025
7022988,Jaden Ivey,DET,CHI,OUT OF GAME,11730,0,0,0,0,SG,,11022025
7022999,David Roddy,PHI,TOR,,6000,0,0,0,0,PF,SF,11022025
7023003,E.J. Liddell,CHI,DET,,6000,0,0,0,0,PF,,11022025
7023025,Wendell Moore,DET,CHI,,6000,0,0,0,0,SG,SF,11022025
7023060,Quenton Jackson,IND,NYK,OUT OF GAME,6000,0,0,0,0,PG,SG,11022025
7023103,Marcus Sasser,DET,CHI,,6000,0,0,0,0,PG,,11022025
7023158,Jacob Toppin,NYK,IND,OUT OF GAME,6000,0,0,0,0,SF,,11022025
7023159,Adama Sanogo,CHI,DET,OUT OF GAME,6000,0,0,0,0,C,,11022025
7023160,Ricky Council,PHI,TOR,,6000,0,0,0,0,SG,,11022025
7023171,Vasilije Micic,PHX,MEM,GAME TIME DECISION,8380,0,0,0,0,PG,SG,11022025
7023248,Jared McCain,PHI,TOR,OUT OF GAME,9090,0,0,0,0,PG,SG,11022025
7023270,Pacome Dadiet,NYK,IND,OUT OF GAME,6000,0,0,0,0,SG,,11022025
7023287,Adem Bona,PHI,TOR,,6000,0,0,0,0,C,,11022025
7023292,Kevin McCullar,NYK,IND,GAME TIME DECISION,6000,0,0,0,0,SF,,11022025
7023293,Tyler Kolek,NYK,IND,,6000,0,0,0,0,PG,,11022025
7023294,Ariel Hukporti,NYK,IND,,6000,0,0,0,0,C,,11022025
7023297,Johnny Furphy,IND,NYK,,6000,0,0,0,0,SG,SF,11022025
7023299,Enrique Freeman,IND,NYK,OUT OF GAME,6000,0,0,0,0,PF,,11022025
7023303,Jalen Bridges,PHX,MEM,,6000,0,0,0,0,SF,,11022025
7023304,Oso Ighodaro,PHX,MEM,,6000,0,0,0,0,PF,C,11022025
7023308,Ulrich Chomche,TOR,PHI,,6000,0,0,0,0,PF,,11022025
7023312,Daniss Jenkins,DET,CHI,,6000,0,0,0,0,PG,,11022025
7023317,Cam Spencer,MEM,PHX,OUT OF GAME,6000,0,0,0,0,SG,,11022025
7023323,Bobi Klintman,DET,CHI,,6000,0,0,0,0,SF,,11022025
7023324,Zyon Pullin,MEM,PHX,,6000,0,0,0,0,SG,,11022025
7023908,Emanuel Miller,CHI,DET,,6000,0,0,0,0,SF,,11022025
7023913,Yuki Kawamura,MEM,PHX,,6000,0,0,0,0,PG,,11022025
7023914,RayJ Dennis,IND,NYK,OUT OF GAME,6000,0,0,0,0,SG,,11022025
7023917,Tolu Smith,DET,CHI,,6000,0,0,0,0,C,,11022025
