Player_ID,Name,Team,Opponent,Position1,Position2,Price,Projection,SD,Floor,Ceiling,FPPG,Form
8001505,Jaxon Prior,ESS,WCE,DEF,,8720,64.4,21.3673248,43,107.1,60,59.33
8000896,Jake Waterman,WCE,ESS,FWD,,9740,69.2,24.3056015,44.9,117.8,51.5,51.5
8000333,Liam Duggan,WCE,ESS,DEF,MID,11760,77.9,24.70728373,53.2,127.3,71.4,72.67
8000120,Zach Merrett,ESS,WCE,MID,,17640,111.3,26.48082636,84.8,164.3,119,126.67
8002524,Jack Hutchinson,WCE,ESS,MID,,6620,51.3,20.45727255,30.8,92.2,59.5,59.5
8001747,Archie Perkins,ESS,WCE,FWD,,9720,66.9,22.2811029,44.6,111.5,69.67,69.67
8001847,Nic Martin,ESS,WCE,MID,FWD,16290,98.6,24.29500118,74.3,147.2,93,88.67
8000756,Jordan Ridley,ESS,WCE,DEF,,13220,88.1,22.98056851,65.1,134.1,66,66
8002491,Archer Reid,WCE,ESS,FWD,RK,6000,46.6,13.34915728,33.3,73.3,42.2,48
8000984,Liam Baker,WCE,ESS,MID,,12000,76.1,20.42629527,55.7,117,80.4,83
8000797,Matt Flynn,WCE,ESS,RK,,10300,67.3,21.29298431,46,109.9,73,73
8001520,Harrison Jones,ESS,WCE,MID,FWD,8870,61.6,17.72362683,43.9,97,54.75,49
8000682,Ben McKay,ESS,WCE,DEF,,6000,50.7,20.32716057,30.4,91.4,40,39.33
8000575,Mason Redman,ESS,WCE,DEF,,12980,83.8,24.4286672,59.4,132.7,80.25,79.67
8000331,Jamie Cripps,WCE,ESS,FWD,,9200,62.1,22.47338533,39.6,107,59.4,63.67
8001445,Xavier Duursma,ESS,WCE,MID,,12500,79,22.33006111,56.7,123.7,80,72.33
8002358,Reuben Ginbey,WCE,ESS,DEF,,8310,55.3,17.23213465,38.1,89.8,58.2,55
8001951,Jye Menzie,ESS,WCE,FWD,,8170,48,20.41415735,27.6,88.8,50.33,50.33
8002357,Tyrell Dewar,WCE,ESS,DEF,,6880,53.9,22.07768653,31.8,98.1,55.2,47
8001911,Jack Williams,WCE,ESS,FWD,RK,7580,53.6,19.05888054,34.5,91.7,45,45
8002440,Archie Roberts,ESS,WCE,DEF,MID,13600,76.2,16.57666174,59.6,109.4,87.5,91.67
8002359,Elijah Hewett,WCE,ESS,MID,FWD,8020,52.8,20.61481478,32.2,94,40.67,40.67
8002375,Ryan Maric,WCE,ESS,DEF,,11740,68.8,19.64899203,49.2,108.1,71.4,84
8002438,Nate Caddy,ESS,WCE,FWD,,8670,50.4,15.44949233,35,81.3,49.5,47
8002492,Harley Reid,WCE,ESS,MID,DEF,10780,64.4,14.36860002,50,93.1,57.6,62.67
8002515,Saad El-Hawli,ESS,WCE,MID,DEF,8000,0,39.59797975,-39.6,79.2,45,45
8002545,Isaac Kako,ESS,WCE,FWD,,7640,50.4,4.654746681,45.7,59.7,45.5,43.67
8002602,Hamish Davis,WCE,ESS,MID,FWD,6000,42.4,0.707106781,41.7,43.8,18.5,18.5
8001910,Brady Hough,WCE,ESS,DEF,,7950,57.6,19.62627996,38,96.9,50.8,41
8000092,Dylan Shiel,ESS,WCE,MID,,14680,79.1,22.74829368,56.4,124.6,81.75,83
8001845,Ben Hobbs,ESS,WCE,FWD,MID,11410,66.1,24.51128592,41.6,115.1,61.5,63
8001816,Sam Durham,ESS,WCE,MID,,13970,84,20.63734043,63.4,125.3,82.25,84.67
8001748,Zach Reid,ESS,WCE,DEF,,9630,58.1,24.15388698,33.9,106.4,71.75,74.67
8001473,Harry Edwards,WCE,ESS,DEF,,6000,44,17.89482624,26.1,79.8,31.25,35
8001381,Matthew Owies,WCE,ESS,FWD,,7560,48.9,14.750349,34.1,78.4,48.4,38.67
8001011,Liam Ryan,WCE,ESS,FWD,,9110,57.8,20.87272703,36.9,99.5,59.67,59.67
8000946,Tim Kelly,WCE,ESS,MID,,12340,77,23.81690748,53.2,124.6,65.75,66.67
8000856,Jack Graham,WCE,ESS,MID,,11620,71.3,22.16532434,49.1,115.6,81.75,76.67
8000799,Will Setterfield,ESS,WCE,MID,,14540,87.9,25.08819732,62.8,138.1,104,104
8000751,Andrew McGrath,ESS,WCE,DEF,,11860,74.8,19.98499049,54.8,114.8,70,58
8000744,Sam Draper,ESS,WCE,RK,,13120,77.2,19.75149786,57.4,116.7,78.75,75.67
8000546,Jayden Hunt,WCE,ESS,MID,,8010,55.6,23.79070374,31.8,103.2,45.6,50
8000389,Jade Gresham,ESS,WCE,FWD,,9630,58.9,20.80319559,38.1,100.5,67.25,75
8000344,Jeremy McGovern,WCE,ESS,DEF,,11130,74,19.0643185,54.9,112.1,64,64
8000150,Peter Wright,ESS,WCE,FWD,RK,10470,66.7,23.07937999,43.6,112.9,0,0
8002604,Tom Gross,WCE,ESS,MID,,7830,0,7.071067812,-7.1,14.1,67,67
