ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position,Position2
8000058,James Harmes,WBD,COL,Start,10510,72,25.706959908677227,46.3,123.4,MID,
8000082,Will Hoskin-Elliott,COL,WBD,Not Named,8460,0,24.052940123224616,-24.1,48.1,FWD,
8000086,Rory Lobb,WBD,COL,Start,8980,63.2,20.914126339251062,42.3,105,DEF,
8000205,Jack Crisp,COL,WBD,Start,11580,74.6,22.793514140048472,51.8,120.2,MID,DEF
8000206,Jordan De Goey,COL,WBD,Start,12600,84.6,24.691144800898712,59.9,134,MID,FWD
8000214,Brayden Maynard,COL,WBD,Start,8910,62.8,20.721075938252277,42.1,104.2,DEF,
8000215,Darcy Moore,COL,WBD,Start,7560,46.7,20.517561063315096,26.2,87.7,DEF,
8000217,Scott Pendlebury,COL,WBD,Start,11200,74.9,24.956700554743747,49.9,124.8,MID,
8000219,Steele Sidebottom,COL,WBD,Start,12690,79.5,24.54580503339641,55,128.6,MID,
8000223,Adam Treloar,WBD,COL,Not Named,16560,0,22.30041520361,-22.3,44.6,MID,
8000239,Tom Mitchell,COL,WBD,Not Named,13730,0,29.700443990177593,-29.7,59.4,MID,
8000278,Marcus Bontempelli,WBD,COL,Not Named,16330,0,23.81298592083382,-23.8,47.6,MID,
8000286,Jason Johannisen,WBD,COL,Not Named,12570,0,23.6965664857375,-23.7,47.4,DEF,
8000288,Tom Liberatore,WBD,COL,Start,15540,91.1,25.260751106469367,65.8,141.6,MID,
8000318,Daniel McStay,COL,WBD,Start,8750,61.8,20.891080712935373,40.9,103.6,FWD,RK
8000434,Taylor Duryea,WBD,COL,Start,8230,60.8,19.969467021620304,40.8,100.7,DEF,
8000457,Jeremy Howe,COL,WBD,Start,9770,62.2,24.75292240388824,37.4,111.7,DEF,
8000496,Oleg Markov,COL,WBD,Not Named,7180,0,22.48464136087616,-22.5,45,DEF,
8000507,Tim Membrey,COL,WBD,Start,9950,68.6,20.901286598222107,47.7,110.4,FWD,
8000536,Bailey Dale,WBD,COL,Start,14160,89.4,27.854540639600867,61.5,145.1,DEF,
8000544,Mason Cox,COL,WBD,Start,7210,51.7,20.452612321539608,31.2,92.6,RK,FWD
8000554,Liam Jones,WBD,COL,Not Named,7520,0,18.444804936505257,-18.4,36.9,DEF,
8000597,Bailey Williams,WBD,COL,Start,10430,72.9,19.05259432845889,53.8,111,MID,DEF
8000621,Matthew Kennedy,WBD,COL,Start,13290,80.1,27.26744321752842,52.8,134.6,MID,
8000729,Josh Daicos,COL,WBD,Start,14240,96.4,22.474914931565422,73.9,141.3,DEF,MID
8000730,Jamie Elliott,COL,WBD,Start,9410,62.6,22.005522355280014,40.6,106.6,FWD,
8000774,Ryan Gardner,WBD,COL,Not Named,6000,0,19.179694148610725,-19.2,38.4,DEF,
8000798,Harry Perryman,COL,WBD,Start,11760,74.7,20.600452081306333,54.1,115.9,MID,DEF
8000843,Billy Frampton,COL,WBD,Not Named,6000,0,20.695798896250007,-20.7,41.4,DEF,
8000845,Dan Houston,COL,WBD,Start,14360,93.1,23.83610948803307,69.3,140.8,DEF,
8000871,Darcy Cameron,COL,WBD,Start,15170,98.8,28.422707483406384,70.4,155.6,RK,
8000899,Tim English,WBD,COL,Start,14960,95,27.71156396232499,67.3,150.4,RK,
8000901,Patrick Lipinski,COL,WBD,Start,10100,74.4,23.466616135035995,50.9,121.3,MID,FWD
8000926,Brody Mihocek,COL,WBD,Not Named,8170,0,21.18204111041166,-21.2,42.4,FWD,
8000968,Oskar Baker,WBD,COL,Start,8290,0,23.417123508541888,-23.4,46.8,MID,
8000993,Nick Coffield,WBD,COL,Not Named,6140,0,20.16997684930984,-20.2,40.3,DEF,
8001013,Aaron Naughton,WBD,COL,Start,9150,65.6,23.680188157799996,41.9,113,FWD,
8001015,Ed Richards,WBD,COL,Start,14410,89.9,23.47921877502985,66.4,136.9,MID,
8001388,Isaac Quaynor,COL,WBD,Start,8430,57.6,18.407571782170596,39.2,94.4,DEF,
8001396,Lachie Schultz,COL,WBD,Start,9130,62.5,21.851191768976395,40.6,106.2,FWD,
8001421,Bobby Hill,COL,WBD,Start,8450,59.4,18.47664450082827,40.9,96.4,FWD,
8001480,Buku Khamis,WBD,COL,Start,6200,42.8,16.756169931378437,26,76.3,DEF,
8001483,Laitham Vandermeer,WBD,COL,Start,7110,47.9,19.740203090984558,28.2,87.4,FWD,
8001484,Rhylee West,WBD,COL,Start,8940,56.2,22.308225518279148,33.9,100.8,FWD,
8001586,Riley Garcia,WBD,COL,Not Named,9170,0,23.035549898793057,-23,46.1,FWD,MID
8001587,Cody Weightman,WBD,COL,Not Named,8700,0,22.34658418106453,-22.3,44.7,FWD,
8001738,Finlay Macrae,COL,WBD,Not Named,6000,0,21.022097217655794,-21,42,MID,FWD
8001739,Beau McCreery,COL,WBD,Start,8270,53.8,18.773630570660412,35,91.3,FWD,
8001740,Reef McInnes,COL,WBD,Start,6000,51.4,20.02925349759685,31.4,91.5,DEF,
8001742,Caleb Poulter,WBD,COL,Not Named,9800,0,23.289528041635286,-23.3,46.6,MID,
8001802,Lachlan McNeil,WBD,COL,Start,7090,57,20.37374688881656,36.6,97.7,FWD,
8001803,Anthony Scott,WBD,COL,Not Named,6590,0,18.363607824816413,-18.4,36.7,MID,FWD
8001804,Jamarra Ugle-Hagan,WBD,COL,Not Named,9640,0,21.797067840434977,-21.8,43.6,FWD,
8001805,Lachlan Bramble,WBD,COL,Start,10170,70.9,20.135182870428302,50.8,111.2,DEF,
8001815,Ash Johnson,COL,WBD,Not Named,6000,0,18.24649207202505,-18.2,36.5,FWD,
8001840,Nick Daicos,COL,WBD,Start,15860,100.3,25.01303259676865,75.3,150.3,MID,
8001841,Charlie Dean,COL,WBD,Not Named,6910,0,12.322308457196067,-12.3,24.6,DEF,
8001843,Harvey Harrison,COL,WBD,Not Named,6710,0,22.835553420050935,-22.8,45.7,FWD,
8001873,Ned Long,COL,WBD,Start,8980,0,19.99230621244852,-20,40,MID,
8001912,Luke Cleary,WBD,COL,Not Named,6000,0,24.680819620564815,-24.7,49.4,DEF,
8001913,Sam Darcy,WBD,COL,Start,11430,74.7,25.28117740601657,49.4,125.3,FWD,RK
8001914,Arthur Jones,WBD,COL,Start,6000,41.3,16.511756273579596,24.8,74.3,MID,
8002284,Edward Allan,COL,WBD,Not Named,7080,0,31.262330900515614,-31.3,62.5,MID,
8002286,Jakob Ryan,COL,WBD,Not Named,6000,0,21.52,-21.5,43,DEF,
8002287,Oscar Steene,COL,WBD,Not Named,6000,0,15.719999999999999,-15.7,31.4,RK,FWD
8002361,Jedd Busslinger,WBD,COL,Not Named,6000,0,24.560000000000002,-24.6,49.1,DEF,
8002363,Harvey Gallagher,WBD,COL,Start,8250,58.2,19.066924740178187,39.1,96.3,MID,
8002364,James O'Donnell,WBD,COL,Not Named,6110,0,20.333613561190752,-20.3,40.7,DEF,
8002435,Harry DeMattia,COL,WBD,Not Named,6000,0,20.680000000000003,-20.7,41.4,DEF,
8002436,Tew Jiath,COL,WBD,Not Named,6000,0,20,-20,40,DEF,
