Player_ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position1,Position2
8001859,Mitch Knevitt,GEE,ADE,Start,9330,78.4,29.32124305,49.1,137,MID,
8000514,Alex Neal-Bullen,ADE,GEE,Start,11040,74.6,21.93892544,52.7,118.5,FWD,
8000781,Mark O'Connor,GEE,ADE,Start,7790,56.4,18.47186277,37.9,93.3,DEF,MID
8001833,Jake Soligo,ADE,GEE,Start,13750,89.7,24.18636307,65.5,138.1,MID,
8000711,Mitchell Hinge,ADE,GEE,Start,11090,78.6,22.78626738,55.8,124.2,DEF,
8000872,Jordan Dawson,ADE,GEE,Start,16380,111.5,25.72861513,85.8,163,MID,
8000426,Rhys Stanley,GEE,ADE,Start,10280,79.1,23.52300189,55.6,126.1,RK,
8000668,Reilly O'Brien,ADE,GEE,Start,12660,88.8,21.44700897,67.4,131.7,RK,
8001861,Oisin Mullin,GEE,ADE,Start,6490,49.2,19.23228932,30,87.7,DEF,
8000553,Jeremy Cameron,GEE,ADE,Start,12620,82.6,27.28614165,55.3,137.2,FWD,
8000858,Tyson Stengle,GEE,ADE,Start,8050,57.8,19.41846709,38.4,96.6,FWD,
8000789,Jack Bowes,GEE,ADE,Start,10980,74.7,25.21084297,49.5,125.1,MID,DEF
8000175,Taylor Walker,ADE,GEE,Start,9370,65.7,27.65097031,38,121,FWD,
8001818,James Peatling,ADE,GEE,Start,12670,82.2,32.41398875,49.8,147,MID,
8002422,Daniel Curtin,ADE,GEE,Start,8220,56.7,25.51078203,31.2,107.7,MID,FWD
8000408,Patrick Dangerfield,GEE,ADE,Start,11390,70.8,28.96422728,41.8,128.7,MID,FWD
8000156,Matt Crouch,ADE,GEE,Start,15140,96.9,24.0108186,72.9,144.9,MID,
8002448,Lawson Humphries,GEE,ADE,Start,12160,79.4,20.73598207,58.7,120.9,DEF,
8001481,Bailey Smith,GEE,ADE,Start,15300,95.8,26.93402141,68.9,149.7,MID,
8001726,Riley Thilthorpe,ADE,GEE,Start,11870,75.3,21.75946486,53.5,118.8,FWD,RK
8000775,Zach Guthrie,GEE,ADE,Start,13310,85.8,25.31336223,60.5,136.4,DEF,
8001369,Lachlan Sholl,ADE,GEE,Start,10660,72.5,27.35034355,45.1,127.2,MID,
8001416,Izak Rankine,ADE,GEE,Start,12960,85,24.21937629,60.8,133.4,MID,
8001531,Sam De Koning,GEE,ADE,Start,10970,76.4,21.01539008,55.4,118.4,RK,DEF
8001831,Luke Nankervis,ADE,GEE,Start,9180,62.7,18.8402937,43.9,100.4,DEF,MID
8000796,Isaac Cumming,ADE,GEE,Start,9920,65.2,23.59067969,41.6,112.4,MID,DEF
8001400,Tom Atkins,GEE,ADE,Start,11580,74.1,22.36247328,51.7,118.8,MID,
8000947,Gryan Miers,GEE,ADE,Start,13900,88.8,22.55555882,66.2,133.9,FWD,
8001722,Brayden Cook,ADE,GEE,Not Named,6000,0,16.20576381,-16.2,32.4,FWD,DEF
8001754,Max Holmes,GEE,ADE,Start,14870,88.7,26.63344417,62.1,142,MID,
8002425,Oscar Ryan,ADE,GEE,Not Named,6000,0,23.08,-23.1,46.2,DEF,
8002552,Cillian Burke,GEE,ADE,Not Named,6000,0,16.92,-16.9,33.8,DEF,
8002553,Lennox Hofmann,GEE,ADE,Not Named,6000,0,15.72,-15.7,31.4,DEF,
8000162,Rory Laird,ADE,GEE,Start,14600,93.2,24.48674216,68.7,142.2,DEF,
8001386,Mark Keane,ADE,GEE,Start,6630,49,19.3642658,29.6,87.7,DEF,
8002273,Max Michalanney,ADE,GEE,Start,8560,59.7,16.01503333,43.7,91.7,DEF,
8000139,Jack Martin,GEE,ADE,Not Named,8240,0,25.51848051,-25.5,51,FWD,
8000168,Wayne Milera,ADE,GEE,Start,9720,64.1,20.66320906,43.4,105.4,DEF,
8000171,Brodie Smith,ADE,GEE,Not Named,9050,0,23.19533012,-23.2,46.4,DEF,
8000405,Mark Blicavs,GEE,ADE,Start,10890,68.7,22.60612645,46.1,113.9,DEF,RK
8000409,Mitch Duncan,GEE,ADE,Not Named,10480,0,26.62447129,-26.6,53.2,DEF,
8000412,Cameron Guthrie,GEE,ADE,Not Named,11310,0,26.35565011,-26.4,52.7,MID,
8000416,Jake Kolodjashnij,GEE,ADE,Not Named,9120,0,17.02650166,-17,34.1,DEF,
8000524,Ben Keays,ADE,GEE,Start,13500,84.6,27.92443555,56.7,140.4,FWD,
8000532,Jed Bews,GEE,ADE,Not Named,6620,0,17.73071902,-17.7,35.5,DEF,
8000777,Jack Henry,GEE,ADE,Not Named,9720,0,17.37817937,-17.4,34.8,DEF,
8000786,Tom Stewart,GEE,ADE,Not Named,13710,0,25.76984822,-25.8,51.5,DEF,MID
8000908,Darcy Fogarty,ADE,GEE,Start,8670,57.3,22.10599517,35.2,101.5,FWD,
8000910,Lachlan Murphy,ADE,GEE,Not Named,7040,0,17.19676236,-17.2,34.4,FWD,
8001364,Jordon Butts,ADE,GEE,Not Named,6650,0,15.36725195,-15.4,30.7,DEF,
8001366,Chayce Jones,ADE,GEE,Not Named,9400,0,21.51223832,-21.5,43,MID,DEF
8001370,Kieran Strachan,ADE,GEE,Not Named,8180,0,21.80869202,-21.8,43.6,RK,
8001410,Chris Burgess,ADE,GEE,Not Named,6270,0,20.77240481,-20.8,41.5,FWD,RK
8001502,Harry Schoenberg,ADE,GEE,Not Named,7890,0,23.34191099,-23.3,46.7,MID,
8001503,Josh Worrell,ADE,GEE,Start,10730,70.7,17.80196568,52.9,106.3,DEF,
8001530,Brad Close,GEE,ADE,Start,7560,51.3,18.15431916,33.1,87.6,FWD,
8001720,Sam Berry,ADE,GEE,Not Named,10650,0,23.95446547,-24,47.9,MID,
8001721,James Borlase,ADE,GEE,Not Named,6000,0,23.55100847,-23.6,47.1,DEF,
8001724,Luke Pedlar,ADE,GEE,Not Named,6720,0,21.72886739,-21.7,43.5,FWD,
8001737,Oliver Henry,GEE,ADE,Start,7390,49.4,21.06306533,28.3,91.5,FWD,
8001755,Shannon Neale,GEE,ADE,Start,8080,55.2,16.25855405,38.9,87.7,FWD,RK
8001765,Tanner Bruhn,GEE,ADE,Not Named,9880,0,24.9704394,-25,49.9,MID,
8001807,Nick Murray,ADE,GEE,Not Named,7670,0,19.39626027,-19.4,38.8,DEF,
8001828,Lachlan McAndrew,ADE,GEE,Not Named,6000,0,33.9411255,-33.9,67.9,RK,
8001832,Josh Rachele,ADE,GEE,Not Named,10110,0,22.12441575,-22.1,44.2,FWD,
8001834,Zac Taylor,ADE,GEE,Start,6270,0,30.80358926,-30.8,61.6,MID,
8001857,Toby Conway,GEE,ADE,Not Named,10330,0,14.96217453,-15,29.9,RK,
8001858,Oliver Dempsey,GEE,ADE,Start,11020,69.1,27.83607058,41.3,124.8,MID,FWD
8002271,Hugh Bond,ADE,GEE,Not Named,6000,0,9.778499252,-9.8,19.6,DEF,
8002272,Billy Dowling,ADE,GEE,Not Named,9950,0,15.43084933,-15.4,30.9,MID,FWD
8002300,Jhye Clark,GEE,ADE,Not Named,8140,0,20.27919165,-20.3,40.6,MID,
8002301,Ted Clohesy,GEE,ADE,Not Named,6360,0,24.92990172,-24.9,49.9,FWD,
8002423,Charlie Edwards,ADE,GEE,Not Named,6000,0,20.52,-20.5,41,MID,DEF
8002424,Karl Gallagher,ADE,GEE,Not Named,6000,0,13.84,-13.8,27.7,FWD,
8002446,Mitchell Edwards,GEE,ADE,Not Named,6000,0,14.36,-14.4,28.7,RK,
