ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position,Position2
8000065,Oscar McDonald,FRE,WCE,Not Named,6000,0,19.12484483,-19.1,38.2,DEF,
8000256,Nat Fyfe,FRE,WCE,Not Named,7810,0,26.51969611,-26.5,53,MID,FWD
8000274,Michael Walters,FRE,WCE,Not Named,6400,0,26.7649367,-26.8,53.5,FWD,
8000301,Alex Pearce,FRE,WCE,Start,6000,46.2,16.93979714,29.3,80.1,DEF,
8000331,Jamie Cripps,WCE,FRE,Start,9530,63.2,22.58950313,40.6,108.4,FWD,
8000333,Liam Duggan,WCE,FRE,Start,12000,79.8,24.84576858,55,129.5,DEF,MID
8000344,Jeremy McGovern,WCE,FRE,Start,11500,75.6,19.11339983,56.5,113.8,DEF,
8000352,Elliot Yeo,WCE,FRE,Not Named,14170,0,27.28697171,-27.3,54.6,MID,
8000455,James Aish,FRE,WCE,Not Named,7330,0,22.62717152,-22.6,45.3,DEF,
8000492,Tom Cole,WCE,FRE,Start,10160,63.2,18.6876122,44.5,100.6,DEF,
8000546,Jayden Hunt,WCE,FRE,Start,9240,60.8,23.9831214,36.8,108.8,MID,
8000607,Corey Wagner,FRE,WCE,Start,10620,0,22.49578616,-22.5,45,DEF,
8000667,Dom Sheed,WCE,FRE,Not Named,9400,0,28.54241408,-28.5,57.1,MID,
8000761,Brennan Cox,FRE,WCE,Start,7790,54.8,21.91168993,32.9,98.6,DEF,
8000762,Sean Darcy,FRE,WCE,Not Named,11820,0,25.32059821,-25.3,50.6,RK,
8000767,Luke Ryan,FRE,WCE,Start,14930,89.3,27.4309416,61.9,144.2,DEF,
8000780,Quinton Narkle,FRE,WCE,Not Named,6000,0,28.80565334,-28.8,57.6,FWD,MID
8000790,Will Brodie,FRE,WCE,Not Named,9800,0,26.71665257,-26.7,53.4,MID,
8000797,Matt Flynn,WCE,FRE,Not Named,10320,0,21.29298431,-21.3,42.6,RK,
8000811,Jaeger O'Meara,FRE,WCE,Start,12870,0,23.25651796,-23.3,46.5,MID,
8000854,Shai Bolton,FRE,WCE,Start,12380,62.3,25.33002967,37,113,MID,FWD
8000856,Jack Graham,WCE,FRE,Start,10670,69.8,22.26015273,47.5,114.3,MID,
8000896,Jake Waterman,WCE,FRE,Not Named,10100,0,24.41079672,-24.4,48.8,FWD,
8000934,Bailey Banfield,FRE,WCE,Start,7700,53.7,24.3347777,29.4,102.4,FWD,
8000935,Andrew Brayshaw,FRE,WCE,Start,16760,102.6,27.47242513,75.1,157.5,MID,
8000943,Sam Switkowski,FRE,WCE,Not Named,10480,0,18.27862888,-18.3,36.6,FWD,
8000946,Tim Kelly,WCE,FRE,Start,13410,86,23.49940049,62.5,133,MID,
8000984,Liam Baker,WCE,FRE,Start,12740,73.5,20.5374478,53,114.6,DEF,MID
8001004,Oscar Allen,WCE,FRE,Start,8220,55.7,18.68032482,37,93.1,FWD,
8001010,Jack Petruccelle,WCE,FRE,Not Named,6000,0,21.56208818,-21.6,43.1,FWD,MID
8001011,Liam Ryan,WCE,FRE,Start,9750,60.4,21.01950491,39.4,102.4,FWD,
8001381,Matthew Owies,WCE,FRE,Start,7790,52.6,14.85796009,37.7,82.3,FWD,
8001397,Sam Sturt,FRE,WCE,Not Named,7740,0,17.4794503,-17.5,35,FWD,
8001402,Jordan Clark,FRE,WCE,Start,14850,90.5,26.38512202,64.1,143.3,DEF,
8001473,Harry Edwards,WCE,FRE,Start,6000,42.1,18.23030176,23.9,78.6,DEF,
8001477,Bailey J. Williams,WCE,FRE,Start,10300,69.1,23.51930131,45.6,116.1,RK,
8001524,Michael Frederick,FRE,WCE,Start,8090,54.2,19.57226144,34.6,93.3,FWD,
8001527,Caleb Serong,FRE,WCE,Start,16490,95.3,24.25793175,71,143.8,MID,
8001529,Hayden Young,FRE,WCE,Not Named,12980,0,23.25537912,-23.3,46.5,MID,
8001543,Jeremy Sharp,FRE,WCE,Start,10760,64.8,31.61570414,33.2,128,MID,
8001554,Luke Jackson,FRE,WCE,Start,14970,82.9,24.75442211,58.1,132.4,RK,
8001581,Callum Jamieson,WCE,FRE,Not Named,6420,0,18.5420825,-18.5,37.1,DEF,
8001749,Heath Chapman,FRE,WCE,Start,8900,64.5,19.66049042,44.8,103.8,DEF,
8001750,Nathan O'Driscoll,FRE,WCE,Start,11220,70.3,24.14303531,46.2,118.6,MID,
8001751,Josh Treacy,FRE,WCE,Start,12510,68.1,25.3248764,42.8,118.7,FWD,
8001752,Brandon Walker,FRE,WCE,Not Named,7980,0,18.21506459,-18.2,36.4,DEF,
8001770,Tyler Brockman,WCE,FRE,Start,6000,44.6,17.21855577,27.4,79,FWD,
8001850,Patrick Voss,FRE,WCE,Start,7960,47.7,12.27584737,35.4,72.3,FWD,
8001852,Jye Amiss,FRE,WCE,Start,8120,54.7,19.12628103,35.6,93,FWD,
8001854,Neil Erasmus,FRE,WCE,Start,8780,71.9,28.85693723,43,129.6,MID,FWD
8001855,Matthew Johnson,FRE,WCE,Start,10540,72,25.70656065,46.3,123.4,MID,
8001856,Karl Worner,FRE,WCE,Not Named,6000,51.6,20.0693243,31.5,91.7,MID,
8001865,Sandy Brock,WCE,FRE,Not Named,6000,0,15.8,-15.8,31.6,DEF,
8001907,Rhett Bazzo,WCE,FRE,Not Named,6000,0,18.5487774,-18.5,37.1,DEF,
8001908,Campbell Chesser,WCE,FRE,Not Named,6730,0,12.26061094,-12.3,24.5,MID,DEF
8001910,Brady Hough,WCE,FRE,Start,9750,64.8,19.79601361,45,104.4,DEF,
8001911,Jack Williams,WCE,FRE,Start,7160,50.8,18.54404954,32.3,87.9,FWD,RK
8002294,Hugh Davies,FRE,WCE,Not Named,6000,0,22.627417,-22.6,45.3,DEF,
8002295,Joshua Draper,FRE,WCE,Start,6000,44.3,18.66850254,25.6,81.6,DEF,
8002298,Liam Reidy,FRE,WCE,Not Named,6150,0,8.504900548,-8.5,17,RK,
8002355,Harry Barnett,WCE,FRE,Not Named,6000,0,14.14213562,-14.1,28.3,RK,FWD
8002357,Tyrell Dewar,WCE,FRE,Start,9130,52.9,24.49206221,28.4,101.9,DEF,
8002358,Reuben Ginbey,WCE,FRE,Start,8580,58.2,17.74748678,40.5,93.7,DEF,
8002359,Elijah Hewett,WCE,FRE,Start,8400,0,20.36827599,-20.4,40.7,MID,FWD
8002360,Noah Long,WCE,FRE,Start,6500,42.2,13.8724347,28.3,69.9,FWD,
8002375,Ryan Maric,WCE,FRE,Start,7360,53,16.33967399,36.7,85.7,DEF,
8002442,Jack Delean,FRE,WCE,Not Named,6000,0,14.2,-14.2,28.4,FWD,
8002443,Odin Jones,FRE,WCE,Not Named,6000,0,14.48,-14.5,29,FWD,
8002444,Ollie Murphy,FRE,WCE,Not Named,6000,0,15.04,-15,30.1,DEF,
8002445,Cooper Simpson,FRE,WCE,Not Named,6000,0,6.363961031,-6.4,12.7,FWD,
8002487,Clay Hall,WCE,FRE,Not Named,6000,0,17.45470328,-17.5,34.9,MID,
8002488,Harvey Johnston,WCE,FRE,Not Named,6000,0,11.3210718,-11.3,22.6,DEF,FWD
8002489,Coen Livingstone,WCE,FRE,Not Named,6000,0,15.48,-15.5,31,RK,FWD
8002490,Loch Rawlinson,WCE,FRE,Not Named,6000,0,16.28,-16.3,32.6,FWD,MID
8002491,Archer Reid,WCE,FRE,Start,6000,42,2.121320344,39.9,46.2,RK,FWD
8002492,Harley Reid,WCE,FRE,Start,9860,65.5,15.32561447,50.2,96.2,MID,FWD
8002524,Jack Hutchinson,WCE,FRE,Not Named,6590,0,21.84359991,-21.8,43.7,MID,
8002548,Jaren Carr,FRE,WCE,Not Named,6000,0,17,-17,34,FWD,
8002549,Charlie Nicholls,FRE,WCE,Not Named,6000,0,19.36,-19.4,38.7,FWD,
8002550,Murphy Reid,FRE,WCE,Start,7970,58.5,13.43502884,45.1,85.4,FWD,MID
8002551,Aiden Riddle,FRE,WCE,Not Named,6000,0,16.92,-16.9,33.8,RK,
8002600,Bo Allan,WCE,FRE,Not Named,6000,0,15,-15,30,MID,DEF
