Player_ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position1,Position2
8000555,Christian Petracca,MEL,ESS,Start,14460,89.7,23.63811707,66.1,137,MID,FWD
8000799,Will Setterfield,ESS,MEL,Start,11980,85.7,24.95128453,60.7,135.6,MID,
8002565,Harvey Langford,MEL,ESS,Start,6000,60.1,30.00555504,30.1,120.1,MID,
8002566,Xavier Lindsay,MEL,ESS,Start,8160,64.2,43.8634244,20.3,151.9,MID,
8000756,Jordan Ridley,ESS,MEL,Start,12200,86.3,22.97388869,63.3,132.2,DEF,
8001517,Nick Bryan,ESS,MEL,Start,10230,74.7,18.30625706,56.4,111.3,RK,
8000056,Max Gawn,MEL,ESS,Start,15280,100.7,29.55611403,71.1,159.8,RK,
8000120,Zach Merrett,ESS,MEL,Start,16950,108.7,26.46495365,82.2,161.6,MID,
8001775,Jake Bowey,MEL,ESS,Start,11360,75.1,17.96533789,57.1,111,DEF,
8001430,Kade Chandler,MEL,ESS,Start,9530,60.8,27.14220243,33.7,115.1,MID,FWD
8001747,Archie Perkins,ESS,MEL,Start,8810,65.8,22.41790537,43.4,110.6,MID,FWD
8000469,Ed Langdon,MEL,ESS,Start,12410,81.2,23.89884782,57.3,129,MID,
8000140,Steven May,MEL,ESS,Start,11330,79.9,22.39830052,57.5,124.7,DEF,
8002624,Jack Henderson,MEL,ESS,Start,6000,56.7,13.59840677,43.1,83.9,FWD,
8001847,Nic Martin,ESS,MEL,Start,14700,97.6,24.20140218,73.4,146,MID,FWD
8000069,Christian Salem,MEL,ESS,Start,12730,87.7,26.3881851,61.3,140.5,DEF,
8000066,Tom McDonald,MEL,ESS,Start,9790,63.9,23.33727218,40.6,110.6,DEF,
8002545,Isaac Kako,ESS,MEL,Start,6000,52,5.567764363,46.4,63.1,FWD,
8000074,Jack Viney,MEL,ESS,Start,11430,77.3,23.35354176,53.9,124,MID,
8001520,Harrison Jones,ESS,MEL,Start,8470,63.4,17.8612686,45.5,99.1,MID,FWD
8000744,Sam Draper,ESS,MEL,Start,10060,73.8,19.38012637,54.4,112.6,RK,
8001555,Kysaiah Pickett,MEL,ESS,Start,10710,68.3,22.81584677,45.5,113.9,FWD,MID
8001505,Jaxon Prior,ESS,MEL,Start,8230,65.2,21.62632714,43.6,108.5,DEF,
8000067,Clayton Oliver,MEL,ESS,Start,15230,88.9,23.93861344,65,136.8,MID,
8002460,Caleb Windsor,MEL,ESS,Start,8810,55.5,21.39292273,34.1,98.3,DEF,MID
8001816,Sam Durham,ESS,MEL,Start,13220,82.4,20.44302003,62,123.3,MID,
8001434,Tom Sparrow,MEL,ESS,Start,9230,66.5,22.91942722,43.6,112.3,MID,
8000970,Harrison Petty,MEL,ESS,Start,6000,56,19.06574772,36.9,94.1,DEF,
8001445,Xavier Duursma,ESS,MEL,Start,13040,81.1,22.41953186,58.7,125.9,MID,
8000575,Mason Redman,ESS,MEL,Start,12880,84.9,24.5180007,60.4,133.9,DEF,
8001881,Jacob van Rooyen,MEL,ESS,Start,7560,52.4,18.92235597,33.5,90.2,FWD,RK
8000092,Dylan Shiel,ESS,MEL,Start,13030,78.6,22.79640054,55.8,124.2,DEF,MID
8000115,Kyle Langford,ESS,MEL,Not Named,11090,0,23.34454694,-23.3,46.7,FWD,
8000122,Darcy Parish,ESS,MEL,Not Named,13690,0,25.10570857,-25.1,50.2,MID,
8000150,Peter Wright,ESS,MEL,Not Named,10480,0,23.07937999,-23.1,46.2,FWD,RK
8000163,Jake Lever,MEL,ESS,Not Named,7800,0,20.29595658,-20.3,40.6,DEF,
8000184,Todd Goldstein,ESS,MEL,Not Named,9380,0,26.30048637,-26.3,52.6,RK,
8000381,Jack Billings,MEL,ESS,Not Named,9190,0,26.27973244,-26.3,52.6,MID,
8000389,Jade Gresham,ESS,MEL,Start,8320,57.2,20.86405271,36.3,98.9,FWD,
8000482,Tom Campbell,MEL,ESS,Not Named,6000,0,22.71193125,-22.7,45.4,RK,FWD
8000530,Jayden Laverde,ESS,MEL,Not Named,10760,0,20.94305957,-20.9,41.9,DEF,
8000682,Ben McKay,ESS,MEL,Start,6000,51.6,20.43026232,31.2,92.5,DEF,
