ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position,Position2
8000004,Patrick Cripps,CAR,WBD,Start,15440,98.9,25.329219845672913,73.6,149.6,MID,
8000005,Charlie Curnow,CAR,WBD,Start,9980,68.9,26.21081722543691,42.7,121.3,FWD,
8000007,Sam Docherty,CAR,WBD,Start,11980,83.1,27.2339151961466,55.9,137.6,MID,DEF
8000022,Jacob Weitering,CAR,WBD,Start,9730,62.9,21.067974388316454,41.8,105,DEF,
8000058,James Harmes,WBD,CAR,Start,9270,68.6,25.73149183479715,42.9,120.1,MID,
8000086,Rory Lobb,WBD,CAR,Start,9580,62.2,20.856521216215086,41.3,103.9,DEF,
8000099,Zac Williams,CAR,WBD,Start,8010,58.2,25.689214353834622,32.5,109.6,FWD,
8000147,Adam Saad,CAR,WBD,Start,10430,67.8,17.908807061085508,49.9,103.6,DEF,
8000167,Mitch McGovern,CAR,WBD,Start,9410,64,19.52049058740094,44.5,103,DEF,
8000223,Adam Treloar,WBD,CAR,Not Named,16540,0,22.30041520361,-22.3,44.6,MID,
8000231,George Hewett,CAR,WBD,Start,14780,98.8,24.325686883565577,74.5,147.5,MID,
8000278,Marcus Bontempelli,WBD,CAR,Not Named,16300,0,23.81298592083382,-23.8,47.6,MID,
8000286,Jason Johannisen,WBD,CAR,Not Named,12560,0,23.6965664857375,-23.7,47.4,DEF,
8000288,Tom Liberatore,WBD,CAR,Start,15420,93.3,25.253380231695274,68,143.8,MID,
8000379,Blake Acres,CAR,WBD,Start,12630,77.1,23.167755627176252,53.9,123.4,MID,
8000434,Taylor Duryea,WBD,CAR,Not Named,7310,0,19.986214025589188,-20,40,DEF,
8000454,Marc Pittonet,CAR,WBD,Not Named,10710,0,17.855190804373343,-17.9,35.7,RK,
8000462,Orazio Fantasia,CAR,WBD,Not Named,6000,0,25.222464622377338,-25.2,50.4,FWD,
8000536,Bailey Dale,WBD,CAR,Start,14490,90.2,27.816960225226104,62.4,145.8,DEF,
8000537,Nick Haynes,CAR,WBD,Start,9860,64.6,23.706757772230684,40.9,112,DEF,
8000554,Liam Jones,WBD,CAR,Start,7510,43.5,18.444804936505257,25.1,80.4,DEF,
8000597,Bailey Williams,WBD,CAR,Start,10000,71.3,18.993582915039077,52.3,109.3,DEF,
8000621,Matthew Kennedy,WBD,CAR,Start,12720,79.6,27.152768351158098,52.4,133.9,MID,
8000637,Jack Silvagni,CAR,WBD,Start,10070,66.2,22.719071370751653,43.5,111.6,FWD,DEF
8000723,Harry McKay,CAR,WBD,Not Named,10980,0,25.990270988323914,-26,52,FWD,
8000774,Ryan Gardner,WBD,CAR,Not Named,6000,0,19.179694148610725,-19.2,38.4,DEF,
8000881,Nic Newman,CAR,WBD,Not Named,16740,0,26.372915887376738,-26.4,52.7,DEF,
8000899,Tim English,WBD,CAR,Start,14850,95.6,27.621341071172875,68,150.8,RK,
8000906,Lewis Young,CAR,WBD,Start,7720,57.1,17.271847764426994,39.8,91.6,DEF,RK
8000918,Tom De Koning,CAR,WBD,Start,15490,94.7,25.688786772107104,69,146.1,RK,
8000936,Adam Cerra,CAR,WBD,Start,13360,81.6,26.89610292067303,54.7,135.4,MID,
8000945,Lachie Fogarty,CAR,WBD,Start,7100,48,21.19430933160641,26.8,90.4,FWD,MID
8000968,Oskar Baker,WBD,CAR,Start,8030,67.1,24.147397269101177,43,115.4,MID,
8000993,Nick Coffield,WBD,CAR,Not Named,6130,0,20.16997684930984,-20.2,40.3,DEF,
8001013,Aaron Naughton,WBD,CAR,Start,9120,62.4,23.71673512320392,38.7,109.8,FWD,
8001015,Ed Richards,WBD,CAR,Start,13420,91,23.518596034947922,67.5,138,MID,
8001378,Matthew Cottrell,CAR,WBD,Start,7980,54.3,19.450638272111963,34.8,93.2,FWD,
8001384,Sam Walsh,CAR,WBD,Start,15060,99,22.376474511643874,76.6,143.8,MID,
8001480,Buku Khamis,WBD,CAR,Start,7450,44.4,16.64454881608406,27.8,77.7,DEF,
8001483,Laitham Vandermeer,WBD,CAR,Start,6750,48.5,19.614636230410845,28.9,87.7,FWD,
8001484,Rhylee West,WBD,CAR,Start,8740,54.2,22.366054535394166,31.8,98.9,FWD,
8001509,Brodie Kemp,CAR,WBD,Start,7330,57.8,23.655130889329367,34.1,105.1,FWD,
8001532,Francis Evans,CAR,WBD,Start,6000,47.6,22.953112602678978,24.6,93.5,FWD,
8001586,Riley Garcia,WBD,CAR,Not Named,9160,0,23.035549898793057,-23,46.1,FWD,MID
8001587,Cody Weightman,WBD,CAR,Not Named,8690,0,22.34658418106453,-22.3,44.7,FWD,
8001733,Corey Durdin,CAR,WBD,Not Named,6000,0,17.378912386702478,-17.4,34.8,FWD,
8001742,Caleb Poulter,WBD,CAR,Not Named,9790,0,23.289528041635286,-23.3,46.6,MID,
8001760,Elijah Hollands,CAR,WBD,Not Named,12530,0,21.38822922091376,-21.4,42.8,FWD,MID
8001802,Lachlan McNeil,WBD,CAR,Start,6330,54.7,20.203887693265322,34.5,95.1,FWD,
8001803,Anthony Scott,WBD,CAR,Not Named,6590,0,18.363607824816413,-18.4,36.7,MID,FWD
8001804,Jamarra Ugle-Hagan,WBD,CAR,Not Named,9630,0,21.797067840434977,-21.8,43.6,FWD,
8001805,Lachlan Bramble,WBD,CAR,Start,9850,65.8,20.877495184882818,44.9,107.6,DEF,
8001812,Jordan Boyd,CAR,WBD,Start,8560,0,16.121127637436565,-16.1,32.2,DEF,
8001839,Jesse Motlop,CAR,WBD,Start,6220,45.3,17.19323800850757,28.1,79.7,FWD,
8001912,Luke Cleary,WBD,CAR,Not Named,6000,0,24.680819620564815,-24.7,49.4,DEF,
8001913,Sam Darcy,WBD,CAR,Start,11940,77.2,25.558699623352933,51.6,128.3,FWD,RK
