Player_ID,Name,Team,Opponent,Position1,Position2,Price,Projection,SD,Floor,Ceiling,FPPG,Form,Projected_Ownership,Exposure,MIN,MAX,GPP_Score
8000896,Jake Waterman,WCE,ESS,FWD,,9740,69.2,24.3056015,44.9,117.8,51.5,51.5,13,100,0,80,105
8000120,Zach Merrett,ESS,WCE,MID,,17640,111.3,26.48082636,84.8,164.3,119,126.67,48,100,0,80,151
8000756,Jordan Ridley,ESS,WCE,DEF,,13220,88.1,22.98056851,65.1,134.1,66,66,15,100,0,80,122
8001505,Jaxon Prior,ESS,WCE,DEF,,8720,64.4,21.3673248,43,107.1,60,59.33,19,80,0,80,96
8000333,Liam Duggan,WCE,ESS,DEF,MID,11760,77.9,24.70728373,53.2,127.3,71.4,72.67,27,80,0,80,114
8002524,Jack Hutchinson,WCE,ESS,MID,,6620,51.3,20.45727255,30.8,92.2,59.5,59.5,32,80,0,80,81
8001747,Archie Perkins,ESS,WCE,FWD,,9720,66.9,22.2811029,44.6,111.5,69.67,69.67,26,80,0,80,100
8001847,Nic Martin,ESS,WCE,MID,FWD,16290,98.6,24.29500118,74.3,147.2,93,88.67,48,60,0,80,135
8002491,Archer Reid,WCE,ESS,FWD,RK,6000,46.6,13.34915728,33.3,73.3,42.2,48,20,60,0,80,66
8001445,Xavier Duursma,ESS,WCE,MID,,12500,79,22.33006111,56.7,123.7,80,72.33,31,40,0,80,112
8000984,Liam Baker,WCE,ESS,MID,,12000,76.1,20.42629527,55.7,117,80.4,83,28,40,0,80,106
8000797,Matt Flynn,WCE,ESS,RK,,10300,67.3,21.29298431,46,109.9,73,73,30,20,0,80,99
8000682,Ben McKay,ESS,WCE,DEF,,6000,50.7,20.32716057,30.4,91.4,40,39.33,18,20,0,80,81
8001911,Jack Williams,WCE,ESS,FWD,RK,7580,53.6,19.05888054,34.5,91.7,45,45,11,20,0,80,82
8001520,Harrison Jones,ESS,WCE,MID,FWD,8870,61.6,17.72362683,43.9,97,54.75,49,32,20,0,80,88
8000856,Jack Graham,WCE,ESS,MID,,11620,71.3,22.16532434,49.1,115.6,81.75,76.67,26,0,0,80,104
8001748,Zach Reid,ESS,WCE,DEF,,9630,58.1,24.15388698,33.9,106.4,71.75,74.67,15,0,0,80,94
8001473,Harry Edwards,WCE,ESS,DEF,,6000,44,17.89482624,26.1,79.8,31.25,35,4,0,0,80,70
8001381,Matthew Owies,WCE,ESS,FWD,,7560,48.9,14.750349,34.1,78.4,48.4,38.67,4,0,0,80,71
