Player_ID,Name,Salary,Projection,Position,Lineup,Projected_Total
8002624,Jack Henderson,6000,56.7,FWD,1,
8001847,Nic Martin,14700,97.6,FWD,1,
8000799,Will Setterfield,11980,85.7,MID,1,
8002565,Harvey Langford,6000,60.1,MID,1,
8002566,Xavier Lindsay,8160,64.2,MID,1,
8000120,Zach Merrett,16950,108.7,MID,1,
8000756,Jordan Ridley,12200,86.3,DEF,1,
8001505,Jaxon Prior,8230,65.2,DEF,1,
8000056,Max Gawn,15280,100.7,RK,1,725.2
,,,,,,
8002624,Jack Henderson,6000,56.7,FWD,2,
8001520,Harrison Jones,8470,63.4,FWD,2,
8000799,Will Setterfield,11980,85.7,MID,2,
8002565,Harvey Langford,6000,60.1,MID,2,
8000120,Zach Merrett,16950,108.7,MID,2,
8001847,Nic Martin,14700,97.6,MID,2,
8000756,Jordan Ridley,12200,86.3,DEF,2,
8001505,Jaxon Prior,8230,65.2,DEF,2,
8000056,Max Gawn,15280,100.7,RK,2,724.4
,,,,,,
8001747,Archie Perkins,8810,65.8,FWD,3,
8002624,Jack Henderson,6000,56.7,FWD,3,
8000799,Will Setterfield,11980,85.7,MID,3,
8002565,Harvey Langford,6000,60.1,MID,3,
8000120,Zach Merrett,16950,108.7,MID,3,
8001847,Nic Martin,14700,97.6,MID,3,
8000756,Jordan Ridley,12200,86.3,DEF,3,
8000069,Christian Salem,12730,87.7,DEF,3,
8001517,Nick Bryan,10230,74.7,RK,3,723.3
,,,,,,
8000555,Christian Petracca,14460,89.7,FWD,4,
8001747,Archie Perkins,8810,65.8,FWD,4,
8000799,Will Setterfield,11980,85.7,MID,4,
8002565,Harvey Langford,6000,60.1,MID,4,
8002566,Xavier Lindsay,8160,64.2,MID,4,
8000120,Zach Merrett,16950,108.7,MID,4,
8000756,Jordan Ridley,12200,86.3,DEF,4,
8000970,Harrison Petty,6000,56,DEF,4,
8000056,Max Gawn,15280,100.7,RK,4,717.2
,,,,,,
8000555,Christian Petracca,14460,89.7,FWD,5,
8001520,Harrison Jones,8470,63.4,FWD,5,
8000799,Will Setterfield,11980,85.7,MID,5,
8002565,Harvey Langford,6000,60.1,MID,5,
8002566,Xavier Lindsay,8160,64.2,MID,5,
8000074,Jack Viney,11430,77.3,MID,5,
8000140,Steven May,11330,79.9,DEF,5,
8000069,Christian Salem,12730,87.7,DEF,5,
8000056,Max Gawn,15280,100.7,RK,5,708.7
,,,,,,
8000555,Christian Petracca,14460,89.7,FWD,6,
8001747,Archie Perkins,8810,65.8,FWD,6,
8000799,Will Setterfield,11980,85.7,MID,6,
8002565,Harvey Langford,6000,60.1,MID,6,
8000469,Ed Langdon,12410,81.2,MID,6,
8000074,Jack Viney,11430,77.3,MID,6,
8000140,Steven May,11330,79.9,DEF,6,
8000069,Christian Salem,12730,87.7,DEF,6,
8001517,Nick Bryan,10230,74.7,RK,6,702.1
,,,,,,
8000555,Christian Petracca,14460,89.7,FWD,7,
8001430,Kade Chandler,9530,60.8,FWD,7,
8002566,Xavier Lindsay,8160,64.2,MID,7,
8000469,Ed Langdon,12410,81.2,MID,7,
8001816,Sam Durham,13220,82.4,MID,7,
8001434,Tom Sparrow,9230,66.5,MID,7,
8001775,Jake Bowey,11360,75.1,DEF,7,
8000140,Steven May,11330,79.9,DEF,7,
8001517,Nick Bryan,10230,74.7,RK,7,674.5
,,,,,,
8000555,Christian Petracca,14460,89.7,FWD,8,
8002545,Isaac Kako,6000,52,FWD,8,
8001430,Kade Chandler,9530,60.8,MID,8,
8000469,Ed Langdon,12410,81.2,MID,8,
8001816,Sam Durham,13220,82.4,MID,8,
8001445,Xavier Duursma,13040,81.1,MID,8,
8001775,Jake Bowey,11360,75.1,DEF,8,
8000066,Tom McDonald,9790,63.9,DEF,8,
8000744,Sam Draper,10060,73.8,RK,8,660
,,,,,,
8001430,Kade Chandler,9530,60.8,FWD,9,
8002545,Isaac Kako,6000,52,FWD,9,
8001555,Kysaiah Pickett,10710,68.3,MID,9,
8000067,Clayton Oliver,15230,88.9,MID,9,
8002460,Caleb Windsor,8810,55.5,MID,9,
8001816,Sam Durham,13220,82.4,MID,9,
8001775,Jake Bowey,11360,75.1,DEF,9,
8000066,Tom McDonald,9790,63.9,DEF,9,
8001517,Nick Bryan,10230,74.7,RK,9,621.6
,,,,,,
8001430,Kade Chandler,9530,60.8,FWD,10,
8002545,Isaac Kako,6000,52,FWD,10,
8000469,Ed Langdon,12410,81.2,MID,10,
8001555,Kysaiah Pickett,10710,68.3,MID,10,
8000067,Clayton Oliver,15230,88.9,MID,10,
8002460,Caleb Windsor,8810,55.5,MID,10,
8001775,Jake Bowey,11360,75.1,DEF,10,
8000066,Tom McDonald,9790,63.9,DEF,10,
8000744,Sam Draper,10060,73.8,RK,10,619.5
