Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status
8000059,FWD,Jesse Hogan,GWS GIANTS,St Kilda,12570,92.5,92.5,CONFIRMED IN TEAM TO PLAY
8000080,FWD,Toby Greene,GWS GIANTS,St Kilda,12550,99.5,105.33,CONFIRMED IN TEAM TO PLAY
8000084,MID,Josh Kelly,GWS GIANTS,St Kilda,13920,98.25,91.67,CONFIRMED IN TEAM TO PLAY
8000094,MID,Jack Steele,St Kilda,GWS GIANTS,14090,95.5,95.5,CONFIRMED IN TEAM TO PLAY
8000097,MID,Callan Ward,GWS GIANTS,St Kilda,8910,49,36,CONFIRMED IN TEAM TO PLAY
8000098,DEF,Lachie Whitfield,GWS GIANTS,St Kilda,17560,117.25,123.33,CONFIRMED IN TEAM TO PLAY
8000234,MID,Zak Jones,St Kilda,GWS GIANTS,9890,61.5,70.67,CONFIRMED IN TEAM TO PLAY
8000289,MID,Jack Macrae,St Kilda,GWS GIANTS,15780,114.75,116.67,CONFIRMED IN TEAM TO PLAY
8000297,FWD,Jake Stringer,GWS GIANTS,St Kilda,8940,48,48,CONFIRMED IN TEAM TO PLAY
8000297,MID,Jake Stringer,GWS GIANTS,St Kilda,8940,48,48,CONFIRMED IN TEAM TO PLAY
8000399,DEF,Jack Sinclair,St Kilda,GWS GIANTS,16180,108.25,114.33,CONFIRMED IN TEAM TO PLAY
8000399,MID,Jack Sinclair,St Kilda,GWS GIANTS,16180,108.25,114.33,CONFIRMED IN TEAM TO PLAY
8000402,DEF,Jimmy Webster,St Kilda,GWS GIANTS,7790,48,52.67,CONFIRMED IN TEAM TO PLAY
8000542,FWD,Mason Wood,St Kilda,GWS GIANTS,12160,85.5,88.33,CONFIRMED IN TEAM TO PLAY
8000542,MID,Mason Wood,St Kilda,GWS GIANTS,12160,85.5,88.33,CONFIRMED IN TEAM TO PLAY
8000547,MID,Bradley Hill,St Kilda,GWS GIANTS,9240,55.75,66,CONFIRMED IN TEAM TO PLAY
8000646,DEF,Harry Himmelberg,GWS GIANTS,St Kilda,13110,95.75,100.67,CONFIRMED IN TEAM TO PLAY
8000867,RK,Rowan Marshall,St Kilda,GWS GIANTS,17090,101,113.33,CONFIRMED IN TEAM TO PLAY
8000957,DEF,Jack Buckley,GWS GIANTS,St Kilda,8070,47,51.33,CONFIRMED IN TEAM TO PLAY
8000961,DEF,Sam Taylor,GWS GIANTS,St Kilda,8110,65,47.33,CONFIRMED IN TEAM TO PLAY
8000988,FWD,Jack Higgins,St Kilda,GWS GIANTS,8770,65.5,68.67,CONFIRMED IN TEAM TO PLAY
8001383,DEF,Liam Stocker,St Kilda,GWS GIANTS,7790,39,39,CONFIRMED IN TEAM TO PLAY
8001417,RK,Kieren Briggs,GWS GIANTS,St Kilda,14120,63.33,63.33,CONFIRMED IN TEAM TO PLAY
8001418,FWD,Callum M. Brown,GWS GIANTS,St Kilda,6000,46.67,46.67,CONFIRMED IN TEAM TO PLAY
8001422,DEF,Connor Idun,GWS GIANTS,St Kilda,10900,75.75,76.33,CONFIRMED IN TEAM TO PLAY
8001428,MID,Toby Bedford,GWS GIANTS,St Kilda,10570,70.75,73.67,CONFIRMED IN TEAM TO PLAY
8001462,DEF,Callum Wilkie,St Kilda,GWS GIANTS,12480,78.5,75.67,CONFIRMED IN TEAM TO PLAY
8001545,DEF,Lachie Ash,GWS GIANTS,St Kilda,13380,95.75,86,CONFIRMED IN TEAM TO PLAY
8001546,MID,Tom Green,GWS GIANTS,St Kilda,15360,105.33,105.33,CONFIRMED IN TEAM TO PLAY
8001548,FWD,Jake Riccardi,GWS GIANTS,St Kilda,9250,74,74,CONFIRMED IN TEAM TO PLAY
8001548,RK,Jake Riccardi,GWS GIANTS,St Kilda,9250,74,74,CONFIRMED IN TEAM TO PLAY
8001573,DEF,Ryan Byrnes,St Kilda,GWS GIANTS,10730,70.5,73.33,CONFIRMED IN TEAM TO PLAY
8001768,DEF,Conor Stone,GWS GIANTS,St Kilda,6000,46.5,45.33,CONFIRMED IN TEAM TO PLAY
8001769,MID,Jacob Wehr,GWS GIANTS,St Kilda,7720,45.5,45.33,CONFIRMED IN TEAM TO PLAY
8001827,FWD,Cooper Sharman,St Kilda,GWS GIANTS,9820,66.5,66.5,CONFIRMED IN TEAM TO PLAY
8001869,MID,Finn Callaghan,GWS GIANTS,St Kilda,12170,84.5,76,CONFIRMED IN TEAM TO PLAY
8001899,FWD,Mitch Owens,St Kilda,GWS GIANTS,9160,61.67,61.67,CONFIRMED IN TEAM TO PLAY
8001901,DEF,Nasiah Wanganeen-Milera,St Kilda,GWS GIANTS,15030,104.25,101.33,CONFIRMED IN TEAM TO PLAY
8001902,MID,Marcus Windhager,St Kilda,GWS GIANTS,9430,73.25,73.67,CONFIRMED IN TEAM TO PLAY
8002308,FWD,Aaron Cadman,GWS GIANTS,St Kilda,7560,39.25,45.67,CONFIRMED IN TEAM TO PLAY
8002311,FWD,Darcy Jones,GWS GIANTS,St Kilda,9570,66.25,67.67,CONFIRMED IN TEAM TO PLAY
8002313,FWD,Toby McMullin,GWS GIANTS,St Kilda,6070,0,0,NAMED AS EMERGENCY RESERVE
8002342,DEF,Anthony Caminiti,St Kilda,GWS GIANTS,8550,70.5,76.33,CONFIRMED IN TEAM TO PLAY
8002476,FWD,Lance Collard,St Kilda,GWS GIANTS,6000,50.33,50.33,CONFIRMED IN TEAM TO PLAY
