Player_ID,Name,Salary,Projection,Position,Lineup,Projected_Total
8000514,Alex Neal-Bullen,11040,74.6,FWD,1,
8000175,Taylor Walker,9370,65.7,FWD,1,
8001859,Mitch Knevitt,9330,78.4,MID,1,
8000781,Mark O'Connor,7790,56.4,MID,1,
8001833,Jake Soligo,13750,89.7,MID,1,
8000872,Jordan Dawson,16380,111.5,MID,1,
8000711,Mitchell Hinge,11090,78.6,DEF,1,
8001531,Sam De Koning,10970,76.4,DEF,1,
8000426,Rhys Stanley,10280,79.1,RK,1,710.4
,,,,,,
8000858,Tyson Stengle,8050,57.8,FWD,2,
8000175,Taylor Walker,9370,65.7,FWD,2,
8001859,Mitch Knevitt,9330,78.4,MID,2,
8001833,Jake Soligo,13750,89.7,MID,2,
8000872,Jordan Dawson,16380,111.5,MID,2,
8001369,Lachlan Sholl,10660,72.5,MID,2,
8000711,Mitchell Hinge,11090,78.6,DEF,2,
8000789,Jack Bowes,10980,74.7,DEF,2,
8000426,Rhys Stanley,10280,79.1,RK,2,708.0
,,,,,,
8000514,Alex Neal-Bullen,11040,74.6,FWD,3,
8000858,Tyson Stengle,8050,57.8,FWD,3,
8001859,Mitch Knevitt,9330,78.4,MID,3,
8000781,Mark O'Connor,7790,56.4,MID,3,
8001833,Jake Soligo,13750,89.7,MID,3,
8000872,Jordan Dawson,16380,111.5,MID,3,
8000711,Mitchell Hinge,11090,78.6,DEF,3,
8002448,Lawson Humphries,12160,79.4,DEF,3,
8000426,Rhys Stanley,10280,79.1,RK,3,705.5
,,,,,,
8000514,Alex Neal-Bullen,11040,74.6,FWD,4,
8000553,Jeremy Cameron,12620,82.6,FWD,4,
8001859,Mitch Knevitt,9330,78.4,MID,4,
8000781,Mark O'Connor,7790,56.4,MID,4,
8001833,Jake Soligo,13750,89.7,MID,4,
8000156,Matt Crouch,15140,96.9,MID,4,
8001861,Oisin Mullin,6490,49.2,DEF,4,
8000789,Jack Bowes,10980,74.7,DEF,4,
8000668,Reilly O'Brien,12660,88.8,RK,4,691.3
,,,,,,
8000514,Alex Neal-Bullen,11040,74.6,FWD,5,
8000553,Jeremy Cameron,12620,82.6,FWD,5,
8001859,Mitch Knevitt,9330,78.4,MID,5,
8000781,Mark O'Connor,7790,56.4,MID,5,
8001833,Jake Soligo,13750,89.7,MID,5,
8001416,Izak Rankine,12960,85.0,MID,5,
8001861,Oisin Mullin,6490,49.2,DEF,5,
8000775,Zach Guthrie,13310,85.8,DEF,5,
8000668,Reilly O'Brien,12660,88.8,RK,5,690.5
,,,,,,
8000514,Alex Neal-Bullen,11040,74.6,FWD,6,
8002422,Daniel Curtin,8220,56.7,FWD,6,
8001818,James Peatling,12670,82.2,MID,6,
8000408,Patrick Dangerfield,11390,70.8,MID,6,
8000156,Matt Crouch,15140,96.9,MID,6,
8001481,Bailey Smith,15300,95.8,MID,6,
8000781,Mark O'Connor,7790,56.4,DEF,6,
8001861,Oisin Mullin,6490,49.2,DEF,6,
8001726,Riley Thilthorpe,11870,75.3,RK,6,657.9
,,,,,,
8002422,Daniel Curtin,8220,56.7,FWD,7,
8000408,Patrick Dangerfield,11390,70.8,FWD,7,
8001818,James Peatling,12670,82.2,MID,7,
8001481,Bailey Smith,15300,95.8,MID,7,
8001400,Tom Atkins,11580,74.1,MID,7,
8001754,Max Holmes,14870,88.7,MID,7,
8000796,Isaac Cumming,9920,65.2,DEF,7,
8001722,Brayden Cook,6000,0.0,DEF,7,
8002425,Oscar Ryan,6000,0.0,DEF,7,
8002552,Cillian Burke,6000,0.0,DEF,7,
8002553,Lennox Hofmann,6000,0.0,DEF,7,
8001726,Riley Thilthorpe,11870,75.3,RK,7,608.8
