Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status,Score,Selected %,Exclude,Date
7000808,SF,Kyle Anderson,Miami Heat,Toronto Raptors,6000,15.25,16.25,,8.5,2,,21022025
7000808,PF,Kyle Anderson,Miami Heat,Toronto Raptors,6000,15.25,16.25,,8.5,2,,21022025
7000810,PG,Cory Joseph,Orlando Magic,Memphis Grizzlies,6000,5.02,3.83,,0,0,,21022025
7000823,PF,Jae Crowder,Sacramento Kings,Golden State Warriors,6000,7.54,2.92,,0,0,,21022025
7000823,C,Jae Crowder,Sacramento Kings,Golden State Warriors,6000,7.54,2.92,,0,0,,21022025
7000858,PF,Tobias Harris,Detroit Pistons,San Antonio Spurs,11720,27.89,29.5,IN STARTING LINEUP,38.25,7,,21022025
7000875,SG,Jordan Clarkson,Utah Jazz,Oklahoma City Thunder,12180,29.27,32.33,IN STARTING LINEUP,28.5,3,,21022025
7000923,C,Bismack Biyombo,San Antonio Spurs,Detroit Pistons,6000,8.13,8.13,IN STARTING LINEUP,7,1,,21022025
7000947,SF,Khris Middleton,Washington Wizards,Milwaukee Bucks,11990,25.75,22.42,IN STARTING LINEUP,24.75,6,,21022025
7000947,PF,Khris Middleton,Washington Wizards,Milwaukee Bucks,11990,25.75,22.42,IN STARTING LINEUP,24.75,6,,21022025
7000949,PF,Giannis Antetokounmpo,Milwaukee Bucks,Washington Wizards,23210,59.34,54.75,IN STARTING LINEUP,30.5,6,,21022025
7000949,C,Giannis Antetokounmpo,Milwaukee Bucks,Washington Wizards,23210,59.34,54.75,IN STARTING LINEUP,30.5,6,,21022025
7000978,SG,Garrett Temple,Toronto Raptors,Miami Heat,6000,3.21,3,,0,0,,21022025
7000984,C,Kelly Olynyk,New Orleans Pelicans,Dallas Mavericks,8650,16.95,18.92,IN STARTING LINEUP,11.75,0,,21022025
7000985,PG,Marcus Smart,Washington Wizards,Milwaukee Bucks,8600,20.01,11.33,,11.75,1,,21022025
7000985,SG,Marcus Smart,Washington Wizards,Milwaukee Bucks,8600,20.01,11.33,,11.75,1,,21022025
7000987,PF,Jeff Green,Houston Rockets,Minnesota Timberwolves,6000,8.22,13,,0,0,,21022025
7000987,C,Jeff Green,Houston Rockets,Minnesota Timberwolves,6000,8.22,13,,0,0,,21022025
7001002,C,Brook Lopez,Milwaukee Bucks,Washington Wizards,10810,26.65,30.17,IN STARTING LINEUP,38.75,19,,21022025
7001014,SF,DeMar DeRozan,Sacramento Kings,Golden State Warriors,14110,35.05,42.75,IN STARTING LINEUP,51.5,4,,21022025
7001020,C,Jonas Valanciunas,Sacramento Kings,Golden State Warriors,7540,25.75,16,,10,0,,21022025
7001030,PG,Dennis Schroder,Detroit Pistons,San Antonio Spurs,8180,27.46,13.5,,14.25,0,,21022025
