Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status,Score,Selected %,Exclude,Date
7000801,SF,Kawhi Leonard,LA Clippers,Los Angeles Lakers,13580,30.31,42.58,,35,16,,2802025
7000801,PF,Kawhi Leonard,LA Clippers,Los Angeles Lakers,13580,30.31,42.58,,35,16,,2802025
7000808,SF,Kyle Anderson,Miami Heat,Indiana Pacers,6000,14.61,8.58,,5.75,0,,2802025
7000808,PF,Kyle Anderson,Miami Heat,Indiana Pacers,6000,14.61,8.58,,5.75,0,,2802025
7000814,PG,Patty Mills,LA Clippers,Los Angeles Lakers,6000,8.19,4.17,,0,0,,2802025
7000858,PF,Tobias Harris,Detroit Pistons,Denver Nuggets,12160,28.04,29,IN STARTING LINEUP,21.5,2,,2802025
7000889,C,Clint Capela,Atlanta Hawks,Oklahoma City Thunder,8970,24.93,20.75,,4.5,0,,2802025
7000890,PG,James Harden,LA Clippers,Los Angeles Lakers,18550,44.86,52.08,,43.75,1,,2802025
7000984,C,Kelly Olynyk,New Orleans Pelicans,Phoenix Suns,8660,17.88,25.33,IN STARTING LINEUP,27.25,24,,2802025
7001000,C,Mason Plumlee,Phoenix Suns,New Orleans Pelicans,6440,16.61,17.67,,21.75,0,,2802025
7001023,PF,James Johnson,Indiana Pacers,Miami Heat,6000,2.23,0.92,,0,0,,2802025
7001023,C,James Johnson,Indiana Pacers,Miami Heat,6000,2.23,0.92,,0,0,,2802025
7001030,PG,Dennis Schroder,Detroit Pistons,Denver Nuggets,7810,27.13,26,,27.5,0,,2802025
7001030,SG,Dennis Schroder,Detroit Pistons,Denver Nuggets,7810,27.13,26,,27.5,0,,2802025
7001037,C,Al Horford,Boston Celtics,Cleveland Cavaliers,9010,21.17,20.08,IN STARTING LINEUP,16.75,8,,2802025
7001037,PF,Al Horford,Boston Celtics,Cleveland Cavaliers,9010,21.17,20.08,IN STARTING LINEUP,16.75,8,,2802025
7001049,SG,Tim Hardaway,Detroit Pistons,Denver Nuggets,7740,17.64,16.25,IN STARTING LINEUP,14.25,3,,2802025
7001049,SF,Tim Hardaway,Detroit Pistons,Denver Nuggets,7740,17.64,16.25,IN STARTING LINEUP,14.25,3,,2802025
7001072,PG,Mike Conley,Minnesota Timberwolves,Utah Jazz,8280,21.4,18.08,IN STARTING LINEUP,15.75,11,,2802025
7001137,PF,Joe Ingles,Minnesota Timberwolves,Utah Jazz,6000,3.72,5.67,,0,0,,2802025
7001138,SG,Alec Burks,Miami Heat,Indiana Pacers,6380,12.9,6.17,,18.25,0,,2802025
7001138,PG,Alec Burks,Miami Heat,Indiana Pacers,6380,12.9,6.17,,18.25,0,,2802025
7001145,PF,Markieff Morris,Los Angeles Lakers,LA Clippers,6000,4.98,5.92,,0,0,,2802025
7001145,C,Markieff Morris,Los Angeles Lakers,LA Clippers,6000,4.98,5.92,,0,0,,2802025
7001153,C,Alex Len,Los Angeles Lakers,LA Clippers,6000,6.26,6.75,,0,0,,2802025
7001197,PF,Nicolas Batum,LA Clippers,Los Angeles Lakers,6000,11.01,10.75,,2,0,,2802025
7001203,PG,Russell Westbrook,Denver Nuggets,Detroit Pistons,12740,31.54,22.25,,18.5,2,,2802025
7001210,PF,Kevin Durant,Phoenix Suns,New Orleans Pelicans,17200,43.56,42.42,IN STARTING LINEUP,34.5,25,,2802025
7001216,SF,LeBron James,Los Angeles Lakers,LA Clippers,19290,51.1,56.17,,51.25,6,,2802025
7001216,PF,LeBron James,Los Angeles Lakers,LA Clippers,19290,51.1,56.17,,51.25,6,,2802025
7001218,C,Tristan Thompson,Cleveland Cavaliers,Boston Celtics,6000,6.5,2.58,,0,0,,2802025
7001228,C,Kevin Love,Miami Heat,Indiana Pacers,6000,13.93,6.25,,0,0,,2802025
7001238,C,DeAndre Jordan,Denver Nuggets,Detroit Pistons,6000,11.51,7.33,,11,0,,2802025
7001317,PG,Terry Rozier,Miami Heat,Indiana Pacers,8760,23.04,10.92,,9.75,0,,2802025
7001317,SG,Terry Rozier,Miami Heat,Indiana Pacers,8760,23.04,10.92,,9.75,0,,2802025
7001322,PG,T.J. McConnell,Indiana Pacers,Miami Heat,8380,22.04,22.42,,16,0,,2802025
7001331,PG,Delon Wright,New York Knicks,Memphis Grizzlies,6000,9.3,4.08,,0,0,,2802025
7001333,C,Myles Turner,Indiana Pacers,Miami Heat,13180,31.99,37.83,IN STARTING LINEUP,36.25,2,,2802025
7001341,PG,Cameron Payne,New York Knicks,Memphis Grizzlies,6000,14.81,9.5,,14,0,,2802025
7001341,SG,Cameron Payne,New York Knicks,Memphis Grizzlies,6000,14.81,9.5,,14,0,,2802025
7001347,C,Nikola Jokic,Denver Nuggets,Detroit Pistons,24610,64.76,60,IN STARTING LINEUP,72.25,15,,2802025
7001353,SG,Devin Booker,Phoenix Suns,New Orleans Pelicans,18060,44.56,54.33,IN STARTING LINEUP,33.5,7,,2802025
7001353,PG,Devin Booker,Phoenix Suns,New Orleans Pelicans,18060,44.56,54.33,IN STARTING LINEUP,33.5,7,,2802025
7001366,PG,Tyus Jones,Phoenix Suns,New Orleans Pelicans,9860,24.99,20.75,IN STARTING LINEUP,21.75,35,,2802025
7001367,C,Karl-Anthony Towns,New York Knicks,Memphis Grizzlies,19900,49.6,50.58,IN STARTING LINEUP,24.75,1,,2802025
7001399,PF,Georges Niang,Atlanta Hawks,Oklahoma City Thunder,9560,17.91,26.17,,23.5,1,,2802025
7001401,PF,Dorian Finney-Smith,Los Angeles Lakers,LA Clippers,6820,18.54,13.58,,19.75,9,,2802025
7001401,C,Dorian Finney-Smith,Los Angeles Lakers,LA Clippers,6820,18.54,13.58,,19.75,9,,2802025
7001406,SF,Jaylen Brown,Boston Celtics,Cleveland Cavaliers,14820,38.99,37.92,IN STARTING LINEUP,46.75,11,,2802025
7001406,SG,Jaylen Brown,Boston Celtics,Cleveland Cavaliers,14820,38.99,37.92,IN STARTING LINEUP,46.75,11,,2802025
7001408,SG,Caris LeVert,Atlanta Hawks,Oklahoma City Thunder,11010,22.71,20.92,,35.25,1,,2802025
7001408,SF,Caris LeVert,Atlanta Hawks,Oklahoma City Thunder,11010,22.71,20.92,,35.25,1,,2802025
7001409,PF,Pascal Siakam,Indiana Pacers,Miami Heat,14190,36.63,31.92,IN STARTING LINEUP,54,6,,2802025
7001410,C,Jakob Poeltl,Toronto Raptors,Chicago Bulls,13430,35.33,20.08,IN STARTING LINEUP,22,0,,2802025
7001416,C,Dario Saric,Denver Nuggets,Detroit Pistons,6000,11.2,14.42,,3.5,0,,2802025
7001416,PF,Dario Saric,Denver Nuggets,Detroit Pistons,6000,11.2,14.42,,3.5,0,,2802025
7001417,PG,Ben Simmons,LA Clippers,Los Angeles Lakers,9230,24.8,25,,10.25,2,,2802025
7001417,PF,Ben Simmons,LA Clippers,Los Angeles Lakers,9230,24.8,25,,10.25,2,,2802025
7001425,PG,Kris Dunn,LA Clippers,Los Angeles Lakers,8060,18.9,22.5,,42.75,5,,2802025
7001425,SG,Kris Dunn,LA Clippers,Los Angeles Lakers,8060,18.9,22.5,,42.75,5,,2802025
7001432,SG,Malik Beasley,Detroit Pistons,Denver Nuggets,11100,26.45,28.42,,31.5,3,,2802025
7001432,SF,Malik Beasley,Detroit Pistons,Denver Nuggets,11100,26.45,28.42,,31.5,3,,2802025
7001433,PG,Jamal Murray,Denver Nuggets,Detroit Pistons,16180,39.07,32.75,IN STARTING LINEUP,48.25,1,,2802025
7001433,SG,Jamal Murray,Denver Nuggets,Detroit Pistons,16180,39.07,32.75,IN STARTING LINEUP,48.25,1,,2802025
7001437,SF,Derrick Jones,LA Clippers,Los Angeles Lakers,7270,19.12,19.58,,16.5,1,,2802025
7001437,PF,Derrick Jones,LA Clippers,Los Angeles Lakers,7270,19.12,19.58,,16.5,1,,2802025
7001441,C,Ivica Zubac,LA Clippers,Los Angeles Lakers,14770,38.88,37.25,,49,2,,2802025
7001500,SG,Derrick White,Boston Celtics,Cleveland Cavaliers,14030,32.99,39.08,IN STARTING LINEUP,32.25,2,,2802025
7001500,PG,Derrick White,Boston Celtics,Cleveland Cavaliers,14030,32.99,39.08,IN STARTING LINEUP,32.25,2,,2802025
7001501,SF,Torrey Craig,Boston Celtics,Cleveland Cavaliers,6000,11.83,9.25,,0,0,,2802025
7001501,PF,Torrey Craig,Boston Celtics,Cleveland Cavaliers,6000,11.83,9.25,,0,0,,2802025
7001512,SG,Bogdan Bogdanovic,LA Clippers,Los Angeles Lakers,8140,19.27,22.58,,7.5,2,,2802025
7001512,SF,Bogdan Bogdanovic,LA Clippers,Los Angeles Lakers,8140,19.27,22.58,,7.5,2,,2802025
7001523,C,Thomas Bryant,Indiana Pacers,Miami Heat,7740,15.98,13.17,,15.75,0,,2802025
7001527,PG,Lonzo Ball,Chicago Bulls,Toronto Raptors,10460,20.73,17.42,IN STARTING LINEUP,22.5,3,,2802025
7001527,SG,Lonzo Ball,Chicago Bulls,Toronto Raptors,10460,20.73,17.42,IN STARTING LINEUP,22.5,3,,2802025
7001528,PF,Chris Boucher,Toronto Raptors,Chicago Bulls,7260,19.1,20.33,,0,0,,2802025
7001528,C,Chris Boucher,Toronto Raptors,Chicago Bulls,7260,19.1,20.33,,0,0,,2802025
7001531,SF,Royce O'Neale,Phoenix Suns,New Orleans Pelicans,9640,22.61,15.75,,28.75,2,,2802025
7001531,PF,Royce O'Neale,Phoenix Suns,New Orleans Pelicans,9640,22.61,15.75,,28.75,2,,2802025
7001550,SF,Josh Hart,New York Knicks,Memphis Grizzlies,15850,39.7,42,IN STARTING LINEUP,29,3,,2802025
7001550,PF,Josh Hart,New York Knicks,Memphis Grizzlies,15850,39.7,42,IN STARTING LINEUP,29,3,,2802025
7001561,PF,John Collins,Utah Jazz,Minnesota Timberwolves,13470,35.45,31.83,IN STARTING LINEUP,49,0,,2802025
7001561,C,John Collins,Utah Jazz,Minnesota Timberwolves,13470,35.45,31.83,IN STARTING LINEUP,49,0,,2802025
7001565,SG,Donovan Mitchell,Cleveland Cavaliers,Boston Celtics,14960,39.36,37.33,IN STARTING LINEUP,55.75,19,,2802025
7001565,PG,Donovan Mitchell,Cleveland Cavaliers,Boston Celtics,14960,39.36,37.33,IN STARTING LINEUP,55.75,19,,2802025
7001570,C,Bam Adebayo,Miami Heat,Indiana Pacers,16480,39.83,32.75,IN STARTING LINEUP,42.25,2,,2802025
7001570,PF,Bam Adebayo,Miami Heat,Indiana Pacers,16480,39.83,32.75,IN STARTING LINEUP,42.25,2,,2802025
7001585,PF,Jayson Tatum,Boston Celtics,Cleveland Cavaliers,19520,49.4,46.17,IN STARTING LINEUP,87.5,6,,2802025
7001589,C,Zach Collins,Chicago Bulls,Toronto Raptors,12000,13.66,36.67,IN STARTING LINEUP,43.75,4,,2802025
7001593,SG,Luke Kennard,Memphis Grizzlies,New York Knicks,7550,19.7,18.75,,11.25,1,,2802025
7001593,PG,Luke Kennard,Memphis Grizzlies,New York Knicks,7550,19.7,18.75,,11.25,1,,2802025
