Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status,Score,Selected %,Exclude,Date
7023297,SF,Johnny Furphy,Indiana Pacers,Atlanta Hawks,6000,4.21,0.67,,0,0,,6032025
7023335,PF,Jackson Rowe,Golden State Warriors,Brooklyn Nets,6000,7.4,5.17,PLAYER IS INJURED BUT IS A GAME TIME DECISION TO PLAY,0,0,,6032025
7023335,SF,Jackson Rowe,Golden State Warriors,Brooklyn Nets,6000,7.4,5.17,PLAYER IS INJURED BUT IS A GAME TIME DECISION TO PLAY,0,0,,6032025
7023898,PG,Jahmir Young,Chicago Bulls,Orlando Magic,6000,2.75,2.75,,0,0,,6032025
7023908,PF,Emanuel Miller,Chicago Bulls,Orlando Magic,6000,0,0,,0,0,,6032025
7023914,PG,RayJ Dennis,Indiana Pacers,Atlanta Hawks,6000,2.29,3.92,,0,0,,6032025
7023176,PF,Miles Norris,Boston Celtics,Philadelphia 76ers,6000,0,0,,2.5,0,,6032025
7000810,PG,Cory Joseph,Orlando Magic,Chicago Bulls,6000,5.38,9.08,,4.25,0,,6032025
7022975,PG,JD Davison,Boston Celtics,Philadelphia 76ers,6000,2.75,2.58,,5,0,,6032025
7000987,PF,Jeff Green,Houston Rockets,New Orleans Pelicans,6000,9.43,11.58,,5.5,0,,6032025
7000987,C,Jeff Green,Houston Rockets,New Orleans Pelicans,6000,9.43,11.58,,5.5,0,,6032025
7022333,SG,Landry Shamet,New York Knicks,Los Angeles Lakers,6000,6.46,5.17,,5.5,0,,6032025
7022333,SF,Landry Shamet,New York Knicks,Los Angeles Lakers,6000,6.46,5.17,,5.5,0,,6032025
7023044,PG,Pat Spencer,Golden State Warriors,Brooklyn Nets,6000,7.09,5.17,,5.5,0,,6032025
7023014,SF,Caleb Houstan,Orlando Magic,Chicago Bulls,6000,5.59,6.17,,6,0,,6032025
7023014,PF,Caleb Houstan,Orlando Magic,Chicago Bulls,6000,5.59,6.17,,6,0,,6032025
7023131,PF,Julian Phillips,Chicago Bulls,Orlando Magic,6000,8.99,6.75,,7.75,0,,6032025
7023111,SF,Jett Howard,Orlando Magic,Chicago Bulls,6000,8.1,7.5,,8,0,,6032025
