ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position,Position2
8000058,James Harmes,WBD,FRE,Start,10700,69.9,25.68546436129459,44.2,121.3,MID,
8000059,Jesse Hogan,GWS,WCE,Start,13110,79.1,26.457196413436282,52.6,132,FWD,
8000065,Oscar McDonald,FRE,WBD,Not Named,6000,0,19.124844833945204,-19.1,38.2,DEF,
8000077,Stephen Coniglio,GWS,WCE,Start,9900,0,27.702674408166477,-27.7,55.4,MID,FWD
8000080,Toby Greene,GWS,WCE,Start,12620,77.8,24.526291819849714,53.3,126.9,FWD,
8000084,Josh Kelly,GWS,WCE,Start,14800,89.6,25.803042094982338,63.8,141.2,MID,
8000086,Rory Lobb,WBD,FRE,Start,9810,60.5,20.821890565797347,39.7,102.1,DEF,
8000094,Jack Steele,STK,POR,Not Named,15610,0,24.239487479269673,-24.2,48.5,MID,
8000097,Callan Ward,GWS,WCE,Start,10160,63.5,26.985204608853344,36.5,117.5,MID,
8000098,Lachie Whitfield,GWS,WCE,Start,17170,108.6,27.59287010672497,81,163.8,DEF,
8000151,Rory Atkins,POR,STK,Not Named,11280,0,28.34510617199038,-28.3,56.7,DEF,
8000223,Adam Treloar,WBD,FRE,Not Named,16540,0,22.30041520361,-22.3,44.6,MID,
8000234,Zak Jones,STK,POR,Start,10900,70.3,25.514680299198407,44.8,121.3,MID,
8000256,Nat Fyfe,FRE,WBD,Not Named,7820,0,26.519696109296355,-26.5,53,MID,FWD
8000274,Michael Walters,FRE,WBD,Not Named,6400,0,26.764936704295106,-26.8,53.5,FWD,
8000278,Marcus Bontempelli,WBD,FRE,Not Named,16300,0,23.81298592083382,-23.8,47.6,MID,
8000286,Jason Johannisen,WBD,FRE,Not Named,12560,0,23.6965664857375,-23.7,47.4,DEF,
8000288,Tom Liberatore,WBD,FRE,Start,15270,98.1,25.464877520365693,72.6,149,MID,
8000289,Jack Macrae,STK,POR,Start,15940,104.4,26.85544897115353,77.5,158.1,MID,
8000297,Jake Stringer,GWS,WCE,Start,10080,62.1,22.842265901711524,39.3,107.8,FWD,MID
8000301,Alex Pearce,FRE,WBD,Start,6000,45.3,16.879256213547464,28.4,79.1,DEF,
8000331,Jamie Cripps,WCE,GWS,Start,9030,63.3,22.544815644807866,40.8,108.4,FWD,
8000333,Liam Duggan,WCE,GWS,Start,11580,77.3,24.818606086213936,52.5,126.9,DEF,MID
8000344,Jeremy McGovern,WCE,GWS,Not Named,11150,0,19.06431850196716,-19.1,38.1,DEF,
8000352,Elliot Yeo,WCE,GWS,Not Named,14170,0,27.286971708165705,-27.3,54.6,MID,
8000356,Travis Boak,POR,STK,Not Named,11640,0,23.373003359868303,-23.4,46.7,MID,FWD
8000376,Ollie Wines,POR,STK,Start,14420,96.9,23.381071286091537,73.5,143.7,MID,
8000399,Jack Sinclair,STK,POR,Start,16300,108.9,26.886918843577856,82,162.7,DEF,MID
8000402,Jimmy Webster,STK,POR,Start,8550,58.1,19.440431816746173,38.7,97,DEF,
8000434,Taylor Duryea,WBD,FRE,Not Named,9310,0,19.986214025589188,-20,40,DEF,
8000455,James Aish,FRE,WBD,Not Named,6600,0,22.92679412929945,-22.9,45.9,DEF,
8000477,Dougal Howard,STK,POR,Not Named,7380,0,18.012013066402556,-18,36,DEF,
8000478,Darcy Byrne-Jones,POR,STK,Start,8490,59.5,22.096153801221853,37.4,103.7,FWD,
8000492,Tom Cole,WCE,GWS,Start,10160,61.7,18.617645303358834,43.1,98.9,DEF,
8000535,Zaine Cordy,STK,POR,Not Named,6000,0,17.092062538608623,-17.1,34.2,DEF,FWD
8000536,Bailey Dale,WBD,FRE,Start,13390,87.5,27.744295057687168,59.8,143,DEF,
8000542,Mason Wood,STK,POR,Start,12670,84.7,28.143866546045903,56.6,141,FWD,MID
8000546,Jayden Hunt,WCE,GWS,Start,9940,59.3,23.91138974941498,35.4,107.1,MID,
8000547,Bradley Hill,STK,POR,Start,9310,59.2,24.54205462729702,34.7,108.3,MID,
8000554,Liam Jones,WBD,FRE,Start,7130,43.4,18.41349278159661,25,80.2,DEF,
8000571,Aliir Aliir,POR,STK,Start,8490,59.9,18.251245250350465,41.6,96.4,DEF,
8000594,Dan Butler,STK,POR,Not Named,8200,0,18.385487467709073,-18.4,36.8,FWD,
8000597,Bailey Williams,WBD,FRE,Start,10580,72.2,18.977217744212766,53.2,110.2,DEF,
8000607,Corey Wagner,FRE,WBD,Start,10630,67.5,22.495786158515624,45,112.5,DEF,
8000620,Jeremy Finlayson,POR,STK,Not Named,10900,0,23.447403187846696,-23.4,46.9,DEF,
8000621,Matthew Kennedy,WBD,FRE,Start,12630,81.3,27.112814003632902,54.2,135.5,MID,
8000646,Harry Himmelberg,GWS,WCE,Start,13110,83.3,23.668046226217246,59.6,130.6,DEF,
8000667,Dom Sheed,WCE,GWS,Not Named,9400,0,28.542414076780133,-28.5,57.1,MID,
8000681,Ryan Burton,POR,STK,Not Named,9690,0,21.492322671819608,-21.5,43,DEF,
8000731,Lachlan Keeffe,GWS,WCE,Not Named,7550,0,17.308897149273893,-17.3,34.6,RK,FWD
8000761,Brennan Cox,FRE,WBD,Start,6600,51.9,22.007544471441484,29.9,95.9,DEF,
8000762,Sean Darcy,FRE,WBD,Not Named,11830,0,25.32059821393628,-25.3,50.6,RK,
8000767,Luke Ryan,FRE,WBD,Start,13540,87,27.374076033727867,59.6,141.7,DEF,
8000774,Ryan Gardner,WBD,FRE,Not Named,6000,0,19.179694148610725,-19.2,38.4,DEF,
8000780,Quinton Narkle,FRE,WBD,Not Named,6000,0,28.805653336808746,-28.8,57.6,FWD,MID
8000784,Esava Ratugolea,POR,STK,Start,6640,43,17.7476179441701,25.3,78.5,DEF,
8000790,Will Brodie,FRE,WBD,Not Named,9810,0,26.716652574898426,-26.7,53.4,MID,
8000797,Matt Flynn,WCE,GWS,Not Named,10320,0,21.292984305971263,-21.3,42.6,RK,
8000811,Jaeger O'Meara,FRE,WBD,Start,12620,72.8,23.256517957099824,49.5,119.3,MID,
8000841,Willem Drew,POR,STK,Start,12400,80.3,20.70565994186187,59.6,121.7,MID,
8000850,Todd Marshall,POR,STK,Not Named,7840,0,23.290074843308183,-23.3,46.6,FWD,
8000852,Sam Powell-Pepper,POR,STK,Start,9160,60.3,20.507479244920447,39.8,101.3,FWD,
8000854,Shai Bolton,FRE,WBD,Start,9810,62.7,25.242718278854692,37.5,113.2,FWD,MID
8000856,Jack Graham,WCE,GWS,Start,10450,69.2,22.176398794143154,47,113.6,MID,
8000857,Ivan Soldo,POR,STK,Not Named,9890,0,21.86677184578718,-21.9,43.7,RK,
8000867,Rowan Marshall,STK,POR,Start,17820,115.5,29.084804820725463,86.4,173.7,RK,
8000892,Willie Rioli,POR,STK,Start,8500,56.6,19.954857890653724,36.6,96.5,FWD,
8000896,Jake Waterman,WCE,GWS,Not Named,10100,0,24.410796716555488,-24.4,48.8,FWD,
8000899,Tim English,WBD,FRE,Start,14400,95.9,27.526868358966862,68.4,151,RK,
8000919,Paddy Dow,STK,POR,Not Named,9860,0,21.528958008044338,-21.5,43.1,MID,
8000933,Brandon Zerk-Thatcher,POR,STK,Not Named,7950,0,19.020503740509096,-19,38,DEF,
