Slate_ID,Player_ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position,Position2,FPPG,Form,Playing Status,Score,Selected %,Exclude,PG,SG,SF,PF,C,Dual_Position,Viable_Player,Value,Pos_Value_Rank,Pos2_Value_Rank,Viable_PG_Count,Avg_PG_Value,Viable_SG_Count,Avg_SG_Value,Viable_SF_Count,Avg_SF_Value,Viable_PF_Count,Avg_PF_Value,Viable_C_Count,Avg_C_Value,Unnamed: 13
11022025,7022707,Tre Jones,CHI,1,1,6130,16.2,6.48,9.7,29.2,PG,,13.88,12.67,,16.0,7.0,,1,0,0,0,0,0,1,2.64274062,5.0,,18.0,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7022714,Isaiah Stewart,DET,0,1,7210,18.9,7.56,11.3,34.0,C,PF,18.4,19.25,,25.5,8.0,,0,0,0,1,1,1,1,2.621359223,6.0,4.0,,1.7048917,,1.751623614,,1.89360501,19.0,1.973294121,19.0,1.845209544,
11022025,7022985,Jalen Duren,DET,0,0,14760,38.1,15.24,22.9,68.6,C,,30.38,37.17,IN STARTING LINEUP,27.25,5.0,,0,0,0,0,1,0,1,2.581300813,7.0,,,1.7048917,,1.751623614,,1.89360501,,1.973294121,19.0,1.845209544,
11022025,7022328,Grayson Allen,PHX,3,3,10310,26.6,10.64,16.0,47.9,SG,SF,21.74,27.42,,17.5,5.0,,0,1,1,0,0,1,1,2.580019399,6.0,6.0,,1.7048917,25.0,1.751623614,27.0,1.89360501,,1.973294121,,1.845209544,
11022025,7022332,Jalen Brunson,NYK,2,0,18110,46.7,18.68,28.0,84.1,PG,,42.9,35.58,IN STARTING LINEUP,19.5,6.0,,1,0,0,0,0,0,1,2.578685809,6.0,,18.0,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7001000,Mason Plumlee,PHX,3,1,7310,18.8,7.52,11.3,33.8,C,,16.63,15.08,,12.0,1.0,,0,0,0,0,1,0,1,2.571819425,8.0,,,1.7048917,,1.751623614,,1.89360501,,1.973294121,19.0,1.845209544,
11022025,7022808,Scottie Barnes,TOR,5,0,18130,46.6,18.64,28.0,83.9,SF,PG,44.45,48.67,IN STARTING LINEUP,56.5,8.0,,1,0,1,0,0,1,1,2.570325427,4.0,2.0,18.0,1.7048917,,1.751623614,27.0,1.89360501,,1.973294121,,1.845209544,
11022025,7022506,Coby White,CHI,1,0,12640,32.4,12.96,19.4,58.3,PG,,31.85,26.75,IN STARTING LINEUP,12.75,22.0,,1,0,0,0,0,0,1,2.563291139,7.0,,18.0,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7023101,Gradey Dick,TOR,5,0,9610,24.6,9.84,14.8,44.3,SG,SF,24.8,21.17,IN STARTING LINEUP,30.5,13.0,,0,1,1,0,0,1,1,2.559833507,7.0,7.0,,1.7048917,25.0,1.751623614,27.0,1.89360501,,1.973294121,,1.845209544,
11022025,7022335,Mikal Bridges,NYK,2,0,11950,30.4,12.16,18.2,54.7,SF,SG,29.99,21.67,IN STARTING LINEUP,19.75,17.0,,0,1,1,0,0,1,1,2.543933054,5.0,2.0,,1.7048917,25.0,1.751623614,27.0,1.89360501,,1.973294121,,1.845209544,
