Slate_ID,Player_ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position1,Position2,FPPG,Form,Playing Status,Score,Selected %,Team_ID,Opponent_ID,Dual_Position,FWD_Count,FWD,MID_Count,MID,DEF_Count,DEF,RK_Count,RK,Status_ID,Value,Pos_Value_Rank,Pos2_Value_Rank,Avg_FWD_Value,Avg_MID_Value,Avg_DEF_Value,Avg_RK_Value
60420251,8001381,Matthew Owies,WCE,GWS,In,7580,50.9,14.8637,36.0,80.6,FWD,,53.67,53.67,CONFIRMED IN TEAM TO PLAY,39,4,18,9,0,19,1,16,0,15,0,5,0,0,6.715,8.0,,5.9538,6.2069,6.5634,6.6562
60420251,8001417,Kieren Briggs,GWS,WCE,In,14720,92.4,26.0296,66.4,144.5,RK,,47.0,47.0,CONFIRMED IN TEAM TO PLAY,96,44,9,18,0,19,0,16,0,15,0,5,1,0,6.2772,4.0,,5.9538,6.2069,6.5634,6.6562
60420251,8001418,Callum M. Brown,GWS,WCE,Out,7800,48.7,24.5967,24.1,97.9,FWD,,51.0,51.0,CONFIRMED IN TEAM TO PLAY,38,8,9,18,0,19,1,16,0,15,0,5,0,1,6.2436,13.0,,5.9538,6.2069,6.5634,6.6562
60420251,8000961,Sam Taylor,GWS,WCE,In,8300,53.4,21.8113,31.6,97.0,DEF,,75.0,75.0,CONFIRMED IN TEAM TO PLAY,35,25,9,18,0,19,0,16,0,15,1,5,0,0,6.4337,7.0,,5.9538,6.2069,6.5634,6.6562
60420251,8001423,Xavier O'Halloran,GWS,WCE,In,6260,0.0,19.4182,-19.4,38.8,FWD,,48.67,48.67,NAMED AS EMERGENCY RESERVE,25,3,9,18,0,19,1,16,0,15,0,5,0,0,0.0,18.5,,5.9538,6.2069,6.5634,6.6562
60420251,8000097,Callan Ward,GWS,WCE,In,10160,63.5,26.9852,36.5,117.5,MID,,49.0,49.0,CONFIRMED IN TEAM TO PLAY,49,17,9,18,0,19,0,16,1,15,0,5,0,0,6.25,9.0,,5.9538,6.2069,6.5634,6.6562
60420251,8001477,Bailey J. Williams,WCE,GWS,In,10890,70.4,23.4131,47.0,117.2,RK,,56.0,56.0,CONFIRMED IN TEAM TO PLAY,69,19,18,9,0,19,0,16,0,15,0,5,1,0,6.4646,3.0,,5.9538,6.2069,6.5634,6.6562
60420251,8000646,Harry Himmelberg,GWS,WCE,In,13110,83.3,23.668,59.6,130.6,DEF,,94.33,94.33,CONFIRMED IN TEAM TO PLAY,100,13,9,18,0,19,0,16,0,15,1,5,0,0,6.3539,8.0,,5.9538,6.2069,6.5634,6.6562
60420251,8001546,Tom Green,GWS,WCE,In,15910,98.1,28.6459,69.5,155.4,MID,,97.5,97.5,CONFIRMED IN TEAM TO PLAY,121,57,9,18,0,19,0,16,1,15,0,5,0,0,6.1659,10.0,,5.9538,6.2069,6.5634,6.6562
60420251,8001548,Jake Riccardi,GWS,WCE,In,9590,56.2,23.1399,33.1,102.5,FWD,RK,0.0,0.0,CONFIRMED IN TEAM TO PLAY,74,24,9,18,1,19,1,16,0,15,0,5,1,0,5.8603,17.0,5.0,5.9538,6.2069,6.5634,6.6562
60420251,8000098,Lachie Whitfield,GWS,WCE,In,17170,108.6,27.5929,81.0,163.8,DEF,,110.0,110.0,CONFIRMED IN TEAM TO PLAY,139,26,9,18,0,19,0,16,0,15,1,5,0,0,6.325,9.0,,5.9538,6.2069,6.5634,6.6562
60420251,8000297,Jake Stringer,GWS,WCE,In,10080,62.1,22.8423,39.3,107.8,FWD,MID,54.0,54.0,CONFIRMED IN TEAM TO PLAY,42,26,9,18,1,19,1,16,1,15,0,5,0,0,6.1607,15.0,11.0,5.9538,6.2069,6.5634,6.6562
60420251,8001770,Tyler Brockman,WCE,GWS,In,6000,43.6,17.1021,26.5,77.8,FWD,,39.0,39.0,CONFIRMED IN TEAM TO PLAY,27,2,18,9,0,19,1,16,0,15,0,5,0,0,7.2667,2.0,,5.9538,6.2069,6.5634,6.6562
60420251,8002357,Tyrell Dewar,WCE,GWS,In,8630,54.1,23.7168,30.4,101.5,DEF,,64.67,64.67,CONFIRMED IN TEAM TO PLAY,53,9,18,9,0,19,0,16,0,15,1,5,0,0,6.2688,10.0,,5.9538,6.2069,6.5634,6.6562
60420251,8000957,Jack Buckley,GWS,WCE,In,8940,55.8,17.2282,38.6,90.3,DEF,,51.0,51.0,CONFIRMED IN TEAM TO PLAY,35,2,9,18,0,19,0,16,0,15,1,5,0,0,6.2416,11.0,,5.9538,6.2069,6.5634,6.6562
60420251,8001545,Lachie Ash,GWS,WCE,In,13320,81.9,24.6094,57.3,131.1,DEF,,96.0,96.0,CONFIRMED IN TEAM TO PLAY,95,16,9,18,0,19,0,16,0,15,1,5,0,0,6.1486,12.0,,5.9538,6.2069,6.5634,6.6562
60420251,8001911,Jack Williams,WCE,GWS,In,7230,51.3,18.429,32.9,88.2,FWD,RK,56.0,56.0,CONFIRMED IN TEAM TO PLAY,66,14,18,9,1,19,1,16,0,15,0,5,1,0,7.0954,3.0,2.0,5.9538,6.2069,6.5634,6.6562
60420251,8002308,Aaron Cadman,GWS,WCE,In,7330,50.7,18.275,32.4,87.2,FWD,,36.67,36.67,CONFIRMED IN TEAM TO PLAY,47,14,9,18,0,19,1,16,0,15,0,5,0,0,6.9168,6.0,,5.9538,6.2069,6.5634,6.6562
60420251,8002311,Darcy Jones,GWS,WCE,In,8690,57.4,22.2882,35.1,102.0,FWD,,47.33,47.33,CONFIRMED IN TEAM TO PLAY,123,9,9,18,0,19,1,16,0,15,0,5,0,0,6.6053,10.0,,5.9538,6.2069,6.5634,6.6562
60420251,8000492,Tom Cole,WCE,GWS,In,10160,61.7,18.6176,43.1,98.9,DEF,,62.33,62.33,CONFIRMED IN TEAM TO PLAY,36,3,18,9,0,19,0,16,0,15,1,5,0,0,6.0728,13.0,,5.9538,6.2069,6.5634,6.6562
60420251,8000984,Liam Baker,WCE,GWS,In,12230,74.1,20.4893,53.6,115.1,DEF,MID,78.0,78.0,CONFIRMED IN TEAM TO PLAY,86,26,18,9,1,19,0,16,1,15,1,5,0,0,6.0589,14.0,12.0,5.9538,6.2069,6.5634,6.6562
60420251,8002360,Noah Long,WCE,GWS,In,6000,42.0,13.6679,28.3,69.3,FWD,,27.33,27.33,CONFIRMED IN TEAM TO PLAY,13,1,18,9,0,19,1,16,0,15,0,5,0,0,7.0,5.0,,5.9538,6.2069,6.5634,6.6562
60420251,8002375,Ryan Maric,WCE,GWS,In,9930,59.5,18.9319,40.6,97.4,DEF,,68.67,68.67,CONFIRMED IN TEAM TO PLAY,73,39,18,9,0,19,0,16,0,15,1,5,0,0,5.9919,15.0,,5.9538,6.2069,6.5634,6.6562
60420251,8000084,Josh Kelly,GWS,WCE,In,14800,89.6,25.803,63.8,141.2,MID,,98.33,98.33,CONFIRMED IN TEAM TO PLAY,98,54,9,18,0,19,0,16,1,15,0,5,0,0,6.0541,13.0,,5.9538,6.2069,6.5634,6.6562
60420251,8002491,Archer Reid,WCE,GWS,In,6000,45.5,17.673,27.8,80.8,RK,FWD,43.67,43.67,CONFIRMED IN TEAM TO PLAY,46,18,18,9,1,19,1,16,0,15,0,5,1,0,7.5833,1.0,1.0,5.9538,6.2069,6.5634,6.6562
60420251,8000546,Jayden Hunt,WCE,GWS,In,9940,59.3,23.9114,35.4,107.1,MID,,43.67,43.67,CONFIRMED IN TEAM TO PLAY,45,4,18,9,0,19,0,16,1,15,0,5,0,0,5.9658,14.0,,5.9538,6.2069,6.5634,6.6562
60420251,8001869,Finn Callaghan,GWS,WCE,In,14750,77.8,18.8645,58.9,115.5,MID,,86.33,86.33,CONFIRMED IN TEAM TO PLAY,79,39,9,18,0,19,0,16,1,15,0,5,0,0,5.2746,15.0,,5.9538,6.2069,6.5634,6.6562
60420251,8002602,Hamish Davis,WCE,GWS,In,6000,0.0,16.96,-17.0,33.9,MID,FWD,0.0,0.0,NAMED AS EMERGENCY RESERVE,19,1,18,9,1,19,1,16,1,15,0,5,0,0,0.0,16.0,18.5,5.9538,6.2069,6.5634,6.6562
