Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status,Score,Selected %
8000040,MID,Kamdyn McIntosh,Richmond,Brisbane Lions,9420,86,86,CONFIRMED IN TEAM TO PLAY,49,19
8000047,DEF,Daniel Rioli,Gold Coast SUNS,Adelaide Crows,13570,84.67,84.67,CONFIRMED IN TEAM TO PLAY,113,0
8000050,DEF,Nick Vlastuin,Richmond,Brisbane Lions,11150,64,64,CONFIRMED IN TEAM TO PLAY,74,2
8000078,DEF,Aidan Corr,North Melbourne,Sydney Swans,8500,66,66,CONFIRMED IN TEAM TO PLAY,73,2
8000127,FWD,Callum Ah Chee,Brisbane Lions,Richmond,10010,60.5,65.33,CONFIRMED IN TEAM TO PLAY,61,5
8000130,FWD,Sam Day,Brisbane Lions,Richmond,7350,50,50,CONFIRMED IN TEAM TO PLAY,68,19
8000130,RK,Sam Day,Brisbane Lions,Richmond,7350,50,50,CONFIRMED IN TEAM TO PLAY,68,19
8000137,FWD,Tom Lynch,Richmond,Brisbane Lions,6760,46,46,CONFIRMED IN TEAM TO PLAY,36,7
8000142,MID,Touk Miller,Gold Coast SUNS,Adelaide Crows,14400,98.67,98.67,CONFIRMED IN TEAM TO PLAY,87,9
8000162,DEF,Rory Laird,Adelaide Crows,Gold Coast SUNS,15060,99.33,99.33,CONFIRMED IN TEAM TO PLAY,60,6
8000168,DEF,Wayne Milera,Adelaide Crows,Gold Coast SUNS,9680,54.33,54.33,CONFIRMED IN TEAM TO PLAY,68,1
8000175,FWD,Taylor Walker,Adelaide Crows,Gold Coast SUNS,8620,72,72,CONFIRMED IN TEAM TO PLAY,85,11
8000190,DEF,Luke McDonald,North Melbourne,Sydney Swans,9000,65.33,65.33,CONFIRMED IN TEAM TO PLAY,72,1
8000211,RK,Brodie Grundy,Sydney Swans,North Melbourne,12700,82,82,CONFIRMED IN TEAM TO PLAY,83,6
8000225,RK,Jarrod Witts,Gold Coast SUNS,Adelaide Crows,14250,100,100,CONFIRMED IN TEAM TO PLAY,96,9
8000230,MID,Isaac Heeney,Sydney Swans,North Melbourne,15060,87.33,87.33,CONFIRMED IN TEAM TO PLAY,76,4
8000237,MID,Jake Lloyd,Sydney Swans,North Melbourne,13110,82,82,CONFIRMED IN TEAM TO PLAY,114,2
